# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -7.701971830985913812e+02, -4.000433152647281609e+00, -7.997992592602953437e+02
-9.797979797979797567e+00, -7.634000000000000909e+02, -3.920437985921403801e+00, -7.927575781895392311e+02
-9.595959595959595134e+00, -7.564000000000000909e+02, -3.840442819195525548e+00, -7.859484955781507551e+02
-9.393939393939394478e+00, -7.491999999999999318e+02, -3.760447652469648183e+00, -7.786534220724882971e+02
-9.191919191919192045e+00, -7.420000000000000000e+02, -3.680452485743769930e+00, -7.763518166606880868e+02
-8.989898989898989612e+00, -7.347999999999999545e+02, -3.600457319017891678e+00, -7.716230524138327382e+02
-8.787878787878787179e+00, -7.273000000000000682e+02, -3.520462152292013869e+00, -7.565052511931475010e+02
-8.585858585858586522e+00, -7.197999999999999545e+02, -3.440466985566135616e+00, -7.490347339820724528e+02
-8.383838383838384090e+00, -7.120000000000001137e+02, -3.360471818840258251e+00, -7.413395068096996283e+02
-8.181818181818181657e+00, -7.040000000000001137e+02, -3.280476652114379998e+00, -7.332491313991570223e+02
-7.979797979797979224e+00, -6.959000000000000909e+02, -3.200481485388501746e+00, -7.250378143521444372e+02
-7.777777777777777679e+00, -6.875000000000000000e+02, -3.120486318662623493e+00, -7.166898877984800720e+02
-7.575757575757576134e+00, -6.790000000000000000e+02, -3.040491151936745684e+00, -7.071322494782805279e+02
-7.373737373737373701e+00, -6.695000000000000000e+02, -2.960495985210867875e+00, -6.985156577020835584e+02
-7.171717171717171269e+00, -6.601000000000000227e+02, -2.880500818484989622e+00, -6.882267248804432711e+02
-6.969696969696969724e+00, -6.505000000000001137e+02, -2.800505651759111814e+00, -6.790957679999390848e+02
-6.767676767676768179e+00, -6.404000000000000909e+02, -2.720510485033233561e+00, -6.679646890178667036e+02
-6.565656565656565746e+00, -6.301000000000000227e+02, -2.640515318307355752e+00, -6.582130393245357709e+02
-6.363636363636363313e+00, -6.196000000000000227e+02, -2.560520151581477943e+00, -6.477000768887102140e+02
-6.161616161616161769e+00, -6.085000000000000000e+02, -2.480524984855599691e+00, -6.355518846890507803e+02
-5.959595959595959336e+00, -5.975000000000000000e+02, -2.400529818129721438e+00, -6.248945725429026652e+02
-5.757575757575757791e+00, -5.863000000000000682e+02, -2.320534651403843629e+00, -6.133595433387304183e+02
-5.555555555555555358e+00, -5.746999999999999318e+02, -2.240539484677965376e+00, -5.999446420960665591e+02
-5.353535353535353813e+00, -5.606999999999999318e+02, -2.160544317952087123e+00, -5.878341394623270162e+02
-5.151515151515151381e+00, -5.480000000000000000e+02, -2.080549151226209315e+00, -5.750539651303113260e+02
-4.949494949494949836e+00, -5.336000000000000227e+02, -2.000553984500331506e+00, -5.603769357587207196e+02
-4.747474747474747403e+00, -5.208999999999999773e+02, -1.920558817774453475e+00, -5.453372530802565734e+02
-4.545454545454545858e+00, -5.055000000000000000e+02, -1.840563651048575444e+00, -5.305462204343612029e+02
-4.343434343434343425e+00, -4.920000000000000000e+02, -1.760568484322697191e+00, -5.162227230855140760e+02
-4.141414141414141881e+00, -4.766000000000000796e+02, -1.680573317596819383e+00, -4.983062138385186017e+02
-3.939393939393939448e+00, -4.587000000000000455e+02, -1.600578150870941130e+00, -4.809767023308291982e+02
-3.737373737373737903e+00, -4.392000000000001023e+02, -1.520582984145063321e+00, -4.601807180195994533e+02
-3.535353535353535470e+00, -4.241000000000000227e+02, -1.440587817419185290e+00, -4.387902395582339068e+02
-3.333333333333333037e+00, -4.045999999999999659e+02, -1.360592650693307037e+00, -4.190726637536303087e+02
-3.131313131313131493e+00, -3.800000000000000000e+02, -1.280597483967429229e+00, -3.954995039460281987e+02
-2.929292929292929060e+00, -3.608999999999999773e+02, -1.200602317241551198e+00, -3.718438307230028386e+02
-2.727272727272727515e+00, -3.345000000000000568e+02, -1.120607150515673167e+00, -3.482045890681138189e+02
-2.525252525252525082e+00, -3.116000000000000227e+02, -1.040611983789795136e+00, -3.244193671257760343e+02
-2.323232323232323537e+00, -2.883000000000001251e+02, -9.606168170639168835e-01, -2.981224311484107830e+02
-2.121212121212121104e+00, -2.633000000000000114e+02, -8.806216503380390748e-01, -2.727229879447343137e+02
-1.919191919191918672e+00, -2.391999999999999318e+02, -8.006264836121609330e-01, -2.479817453837714538e+02
-1.717171717171718015e+00, -2.114000000000000909e+02, -7.206313168862827911e-01, -2.236276146100127278e+02
-1.515151515151515582e+00, -1.913000000000000398e+02, -6.406361501604053155e-01, -1.996840931816944362e+02
-1.313131313131313149e+00, -1.617999999999999829e+02, -5.606409834345271737e-01, -1.756095340217682406e+02
-1.111111111111110716e+00, -1.348999999999999204e+02, -4.806458167086489763e-01, -1.514852554445617159e+02
-9.090909090909100598e-01, -1.102000000000001307e+02, -4.006506499827708345e-01, -1.245073133191680768e+02
-7.070707070707076269e-01, -8.570000000000004547e+01, -3.206554832568926372e-01, -1.001913656867650815e+02
-5.050505050505051940e-01, -6.380000000000001847e+01, -2.406603165310151893e-01, -7.486931265591788076e+01
-3.030303030303027612e-01, -3.949999999999997158e+01, -1.606651498051370197e-01, -4.996367348522360885e+01
-1.010101010101003283e-01, -1.369999999999991225e+01, -8.066998307925886402e-02, -2.683555670583706387e+01
1.010101010101003283e-01, 1.369999999999991047e+01, -6.748163533806917453e-04, -2.239000332249432290e-01
3.030303030303027612e-01, 3.939999999999997016e+01, 7.932035037249747511e-02, 2.631801822058073270e+01
5.050505050505051940e-01, 6.130000000000001137e+01, 1.593155170983749369e-01, 5.119579723241484714e+01
7.070707070707076269e-01, 8.980000000000006821e+01, 2.393106838242531065e-01, 7.388971736528574752e+01
9.090909090909082835e-01, 1.117999999999999261e+02, 3.193058505501312760e-01, 9.653595733644073107e+01
1.111111111111110716e+00, 1.400999999999999375e+02, 3.993010172760094179e-01, 1.209509825866302890e+02
1.313131313131313149e+00, 1.649000000000000057e+02, 4.792961840018876152e-01, 1.462253375492554710e+02
1.515151515151515582e+00, 1.893000000000000682e+02, 5.592913507277650353e-01, 1.746360878345782339e+02
1.717171717171716239e+00, 2.135999999999998806e+02, 6.392865174536432882e-01, 1.997549934766171873e+02
1.919191919191918672e+00, 2.376999999999999602e+02, 7.192816841795214300e-01, 2.221104408858396084e+02
2.121212121212121104e+00, 2.631000000000000227e+02, 7.992768509053995718e-01, 2.487827658715672499e+02
2.323232323232323537e+00, 2.875000000000000568e+02, 8.792720176312777136e-01, 2.728173974434723732e+02
2.525252525252524194e+00, 3.150999999999999091e+02, 9.592671843571551893e-01, 2.970524095497034978e+02
2.727272727272726627e+00, 3.391999999999998749e+02, 1.039262351083033442e+00, 3.197356457737030269e+02
2.929292929292929060e+00, 3.635999999999999091e+02, 1.119257517808911473e+00, 3.438340929178764327e+02
3.131313131313131493e+00, 3.866999999999999886e+02, 1.199252684534789726e+00, 3.676620261308561339e+02
3.333333333333333925e+00, 4.120000000000000568e+02, 1.279247851260667979e+00, 3.878856470754955126e+02
3.535353535353534582e+00, 4.319999999999998863e+02, 1.359243017986545343e+00, 4.113313994058021308e+02
3.737373737373737015e+00, 4.529999999999998863e+02, 1.439238184712423596e+00, 4.289309452567488279e+02
3.939393939393939448e+00, 4.753999999999999773e+02, 1.519233351438301627e+00, 4.447191366645023436e+02
4.141414141414141881e+00, 4.926000000000000227e+02, 1.599228518164179880e+00, 4.640668243776701729e+02
4.343434343434342537e+00, 5.116999999999999318e+02, 1.679223684890057910e+00, 4.811223188305610847e+02
4.545454545454544970e+00, 5.263999999999999773e+02, 1.759218851615935497e+00, 4.956869220711222397e+02
4.747474747474747403e+00, 5.413000000000000682e+02, 1.839214018341813528e+00, 5.093852750340740840e+02
4.949494949494949836e+00, 5.563999999999999773e+02, 1.919209185067691781e+00, 5.241517158654995683e+02
5.151515151515150492e+00, 5.715999999999999091e+02, 1.999204351793570034e+00, 5.369306294805512607e+02
