# Voltage (V), Field (mT), Current (A), Field (mT)
-9.797979797979797567e+00, -4.723999999999999773e+02, 3.918891993870767365e+00, 4.723999999999999773e+02
-9.595959595959595134e+00, -4.690000000000000000e+02, 3.838118252286318643e+00, 4.690000000000000000e+02
-9.393939393939394478e+00, -4.655000000000000000e+02, 3.757428815857362991e+00, 4.655000000000000000e+02
-9.191919191919192045e+00, -4.620000000000000000e+02, 3.676511481749665577e+00, 4.620000000000000000e+02
-8.989898989898989612e+00, -4.583000000000000114e+02, 3.595559489151286758e+00, 4.583000000000000114e+02
-8.787878787878787179e+00, -4.549000000000000341e+02, 3.514823216939639394e+00, 4.549000000000000341e+02
-8.585858585858586522e+00, -4.509000000000000341e+02, 3.433871506093542081e+00, 4.509000000000000341e+02
-8.383838383838384090e+00, -4.470000000000000000e+02, 3.353210830671014442e+00, 4.470000000000000000e+02
-8.181818181818181657e+00, -4.431999999999999886e+02, 3.272427174992442289e+00, 4.431999999999999886e+02
-7.979797979797980112e+00, -4.393000000000000114e+02, 3.191556379319221648e+00, 4.393000000000000114e+02
-7.777777777777777679e+00, -4.351999999999999886e+02, 3.110703891332568638e+00, 4.351999999999999886e+02
-7.575757575757576134e+00, -4.310999999999999659e+02, 3.029871785629052461e+00, 4.310999999999999659e+02
-7.373737373737373701e+00, -4.268999999999999773e+02, 2.949224727365120202e+00, 4.268999999999999773e+02
-7.171717171717172157e+00, -4.223999999999999773e+02, 2.868215723382306237e+00, 4.223999999999999773e+02
-6.969696969696969724e+00, -4.180000000000000000e+02, 2.787482146064027333e+00, 4.180000000000000000e+02
-6.767676767676767291e+00, -4.131000000000000227e+02, 2.706442719277160958e+00, 4.131000000000000227e+02
-6.565656565656565746e+00, -4.088000000000000114e+02, 2.625785200608999226e+00, 4.088000000000000114e+02
-6.363636363636363313e+00, -4.033999999999999773e+02, 2.544993246979293300e+00, 4.033999999999999773e+02
-6.161616161616161769e+00, -3.978999999999999773e+02, 2.464087633932602994e+00, 3.978999999999999773e+02
-5.959595959595959336e+00, -3.925000000000000000e+02, 2.383504180562257435e+00, 3.925000000000000000e+02
-5.757575757575757791e+00, -3.866000000000000227e+02, 2.302514609039197691e+00, 3.866000000000000227e+02
-5.555555555555555358e+00, -3.805999999999999659e+02, 2.221839398543906885e+00, 3.805999999999999659e+02
-5.353535353535353813e+00, -3.743000000000000114e+02, 2.140823515691950174e+00, 3.743000000000000114e+02
-5.151515151515151381e+00, -3.678999999999999773e+02, 2.060153673474350189e+00, 3.678999999999999773e+02
-4.949494949494949836e+00, -3.612000000000000455e+02, 1.979219512612120813e+00, 3.612000000000000455e+02
-4.747474747474747403e+00, -3.546000000000000227e+02, 1.898514508821461888e+00, 3.546000000000000227e+02
-4.545454545454545858e+00, -3.470000000000000000e+02, 1.817804386288408569e+00, 3.470000000000000000e+02
-4.343434343434343425e+00, -3.401000000000000227e+02, 1.736883959260459465e+00, 3.401000000000000227e+02
-4.141414141414140992e+00, -3.313000000000000114e+02, 1.656010352506967820e+00, 3.313000000000000114e+02
-3.939393939393939448e+00, -3.241000000000000227e+02, 1.575098373142166164e+00, 3.241000000000000227e+02
-3.737373737373737459e+00, -3.140000000000000000e+02, 1.494317358283524522e+00, 3.140000000000000000e+02
-3.535353535353535470e+00, -3.058000000000000114e+02, 1.413569128799542440e+00, 3.058000000000000114e+02
-3.333333333333333481e+00, -2.945999999999999659e+02, 1.332778881005055815e+00, 2.945999999999999659e+02
-3.131313131313131493e+00, -2.836999999999999886e+02, 1.252036995678287079e+00, 2.836999999999999886e+02
-2.929292929292929504e+00, -2.723999999999999773e+02, 1.171056215363208031e+00, 2.723999999999999773e+02
-2.727272727272727071e+00, -2.594000000000000341e+02, 1.171128937949960536e+00, 2.594000000000000341e+02
-2.525252525252525082e+00, -2.455000000000000000e+02, 1.009568530093711836e+00, 2.455000000000000000e+02
-2.323232323232323093e+00, -2.304000000000000057e+02, 9.287286533010524758e-01, 2.304000000000000057e+02
-2.121212121212121104e+00, -2.170000000000000000e+02, 8.476924640817831147e-01, 2.170000000000000000e+02
-1.919191919191919116e+00, -1.970000000000000000e+02, 7.672651004704319488e-01, 1.970000000000000000e+02
-1.717171717171717127e+00, -1.794000000000000057e+02, 6.862362504083513448e-01, 1.794000000000000057e+02
-1.515151515151515138e+00, -1.607000000000000171e+02, 6.053643016826080192e-01, 1.607000000000000171e+02
