# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -1.100311410993289201e+02, -4.000000000000000000e+00, -1.100311410993289201e+02
-9.797979797979797567e+00, -1.078082897639889381e+02, -3.919191919191919116e+00, -1.078082897639889381e+02
-9.595959595959595134e+00, -1.055854384286489562e+02, -3.838383838383838231e+00, -1.055854384286489562e+02
-9.393939393939394478e+00, -1.033625870933089885e+02, -3.757575757575757791e+00, -1.033625870933089885e+02
-9.191919191919192045e+00, -1.011397357579690066e+02, -3.676767676767676907e+00, -1.011397357579690066e+02
-8.989898989898989612e+00, -9.891688442262902470e+01, -3.595959595959596022e+00, -9.891688442262902470e+01
-8.787878787878787179e+00, -9.669403308728904278e+01, -3.515151515151515138e+00, -9.669403308728904278e+01
-8.585858585858586522e+00, -9.447118175194907508e+01, -3.434343434343434254e+00, -9.447118175194906087e+01
-8.383838383838384090e+00, -9.224833041660909316e+01, -3.353535353535353369e+00, -9.224833041660907895e+01
-8.181818181818181657e+00, -9.002547908126911125e+01, -3.272727272727272485e+00, -9.002547908126909704e+01
-7.979797979797979224e+00, -8.780262774592912933e+01, -3.191919191919192045e+00, -8.780262774592912933e+01
-7.777777777777777679e+00, -8.557977641058914742e+01, -3.111111111111111160e+00, -8.557977641058914742e+01
-7.575757575757576134e+00, -8.335692507524917971e+01, -3.030303030303030276e+00, -8.335692507524916550e+01
-7.373737373737373701e+00, -8.113407373990919780e+01, -2.949494949494949392e+00, -8.113407373990919780e+01
-7.171717171717171269e+00, -7.891122240456921588e+01, -2.868686868686868507e+00, -7.891122240456921588e+01
-6.969696969696969724e+00, -7.668837106922924818e+01, -2.787878787878788067e+00, -7.668837106922924818e+01
-6.767676767676768179e+00, -7.446551973388926626e+01, -2.707070707070706739e+00, -7.446551973388925205e+01
-6.565656565656565746e+00, -7.224266839854929856e+01, -2.626262626262626299e+00, -7.224266839854928435e+01
-6.363636363636363313e+00, -7.001981706320930243e+01, -2.545454545454545414e+00, -7.001981706320930243e+01
-6.161616161616161769e+00, -6.779696572786933473e+01, -2.464646464646464530e+00, -6.779696572786932052e+01
-5.959595959595959336e+00, -6.557411439252935281e+01, -2.383838383838383645e+00, -6.557411439252933860e+01
-5.757575757575757791e+00, -6.335126305718938511e+01, -2.303030303030302761e+00, -6.335126305718936379e+01
-5.555555555555555358e+00, -6.112841172184940319e+01, -2.222222222222222321e+00, -6.112841172184939609e+01
-5.353535353535353813e+00, -5.890556038650942838e+01, -2.141414141414140992e+00, -5.890556038650940707e+01
-5.151515151515151381e+00, -5.668270905116943936e+01, -2.060606060606060552e+00, -5.668270905116943936e+01
-4.949494949494949836e+00, -5.445985771582947166e+01, -1.979797979797979668e+00, -5.445985771582945745e+01
-4.747474747474747403e+00, -5.223700638048948974e+01, -1.898989898989898784e+00, -5.223700638048947553e+01
-4.545454545454545858e+00, -5.001415504514950783e+01, -1.818181818181817899e+00, -5.001415504514949362e+01
-4.343434343434343425e+00, -4.779130370980952591e+01, -1.737373737373737015e+00, -4.779130370980951170e+01
-4.141414141414141881e+00, -4.556845237446955821e+01, -1.656565656565656575e+00, -4.556845237446954400e+01
-3.939393939393939448e+00, -4.334560103912956919e+01, -1.575757575757575690e+00, -4.334560103912956919e+01
-3.737373737373737903e+00, -4.112274970378960148e+01, -1.494949494949494806e+00, -4.112274970378958727e+01
-3.535353535353535470e+00, -3.889989836844961246e+01, -1.414141414141413922e+00, -3.889989836844960536e+01
-3.333333333333333037e+00, -3.667704703310963055e+01, -1.333333333333333037e+00, -3.667704703310963055e+01
-3.131313131313131493e+00, -3.445419569776966284e+01, -1.252525252525252153e+00, -3.445419569776964863e+01
-2.929292929292929060e+00, -3.223134436242968093e+01, -1.171717171717171269e+00, -3.223134436242966672e+01
-2.727272727272727515e+00, -3.000849302708970612e+01, -1.090909090909090828e+00, -3.000849302708969901e+01
-2.525252525252525082e+00, -2.778564169174972420e+01, -1.010101010101009944e+00, -2.778564169174971710e+01
-2.323232323232323537e+00, -2.556279035640974939e+01, -9.292929292929290597e-01, -2.556279035640973873e+01
-2.121212121212121104e+00, -2.333993902106976748e+01, -8.484848484848481753e-01, -2.333993902106975682e+01
-1.919191919191918672e+00, -2.111708768572978556e+01, -7.676767676767672910e-01, -2.111708768572977846e+01
-1.717171717171718015e+00, -1.889423635038982141e+01, -6.868686868686864067e-01, -1.889423635038980009e+01
-1.515151515151515582e+00, -1.667138501504983950e+01, -6.060606060606059664e-01, -1.667138501504983239e+01
-1.313131313131313149e+00, -1.444853367970985758e+01, -5.252525252525250821e-01, -1.444853367970985047e+01
-1.111111111111110716e+00, -1.222568234436987566e+01, -4.444444444444441977e-01, -1.222568234436987034e+01
-9.090909090909100598e-01, -1.000283100902991151e+01, -3.636363636363633134e-01, -1.000283100902989020e+01
-7.070707070707076269e-01, -7.779979673689929598e+00, -2.828282828282824291e-01, -7.779979673689910058e+00
-5.050505050505051940e-01, -5.557128338349947683e+00, -2.020202020202015447e-01, -5.557128338349929919e+00
-3.030303030303027612e-01, -3.334277003009965767e+00, -1.212121212121211045e-01, -3.334277003009962215e+00
-1.010101010101003283e-01, -1.111425667669980299e+00, -4.040404040404022012e-02, -1.111425667669980299e+00
1.010101010101003283e-01, 1.111425667669981410e+00, 4.040404040404066421e-02, 1.111425667669996065e+00
3.030303030303027612e-01, 3.334277003009963991e+00, 1.212121212121219926e-01, 3.334277003009988416e+00
