# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -1.147999999999999972e+02, -4.005912937488799841e+00, -1.147999999999999972e+02
-9.797979797979797567e+00, -1.126398822463606137e+02, -3.924987008988293002e+00, -1.126431702653425617e+02
-9.595959595959595134e+00, -1.104585380841322007e+02, -3.844061080487786608e+00, -1.104629368220814314e+02
-9.393939393939394478e+00, -1.082706060606060561e+02, -3.763135151987279770e+00, -1.082744194611390469e+02
-9.191919191919192045e+00, -1.060845854436408899e+02, -3.682209223486772931e+00, -1.060858884079467543e+02
-8.989898989898989612e+00, -1.038978244290103277e+02, -3.601283294986266093e+00, -1.038947409570421314e+02
-8.787878787878787179e+00, -1.016881104167622851e+02, -3.520357366485759698e+00, -1.016925123456521192e+02
-8.585858585858586522e+00, -9.947788116595135932e+01, -3.439431437985252860e+00, -9.948327048626961755e+01
-8.383838383838384090e+00, -9.726456378572299855e+01, -3.358505509484746021e+00, -9.726890043534484676e+01
-8.181818181818181657e+00, -9.504213058335959374e+01, -3.277579580984239183e+00, -9.504514135901992233e+01
-7.979797979797980112e+00, -9.280656966966554933e+01, -3.196653652483732788e+00, -9.280422022176810515e+01
-7.777777777777777679e+00, -9.057356174548081640e+01, -3.115727723983225950e+00, -9.057585742791819428e+01
-7.575757575757576134e+00, -8.832810551245309227e+01, -3.034801795482719111e+00, -8.833645773780320098e+01
-7.373737373737373701e+00, -8.607349404685733418e+01, -2.953875866982212717e+00, -8.608130219273478190e+01
-7.171717171717172157e+00, -8.381315668314435641e+01, -2.872949938481705878e+00, -8.381482789258288335e+01
-6.969696969696969724e+00, -8.154634900944326148e+01, -2.792024009981199040e+00, -8.154758066488140855e+01
-6.767676767676767291e+00, -7.926622461923230389e+01, -2.711098081480692201e+00, -7.926683037780937013e+01
-6.565656565656565746e+00, -7.697405377867066534e+01, -2.630172152980185807e+00, -7.697814315993646517e+01
-6.363636363636363313e+00, -7.466445850684577579e+01, -2.549246224479678968e+00, -7.466966616917140698e+01
-6.161616161616161769e+00, -7.233875907705819941e+01, -2.468320295979172130e+00, -7.233988501366850699e+01
-5.959595959595959336e+00, -7.000817335119279505e+01, -2.387394367478665291e+00, -7.000565478759517646e+01
-5.757575757575757791e+00, -6.767052602262886296e+01, -2.306468438978158897e+00, -6.767339284194966353e+01
-5.555555555555555358e+00, -6.533290692484395379e+01, -2.225542510477652058e+00, -6.533829424273748998e+01
-5.353535353535353813e+00, -6.299174937373898331e+01, -2.144616581977145220e+00, -6.299494924978936439e+01
-5.151515151515151381e+00, -6.064357662789716130e+01, -2.063690653476638825e+00, -6.064362303952814415e+01
-4.949494949494949836e+00, -5.828900202921890639e+01, -1.982764724976131987e+00, -5.829280519512158776e+01
-4.747474747474747403e+00, -5.593565375393932015e+01, -1.901838796475625148e+00, -5.593847917772446721e+01
-4.545454545454545858e+00, -5.357534165754537980e+01, -1.820912867975118532e+00, -5.357814758537350741e+01
-4.343434343434343425e+00, -5.121612970364086692e+01, -1.739986939474611694e+00, -5.122028931071520219e+01
-4.141414141414140992e+00, -4.886299940241323014e+01, -1.659061010974105077e+00, -4.886761304313237275e+01
-3.939393939393939448e+00, -4.650932089677957038e+01, -1.578135082473598239e+00, -4.650915463216610135e+01
-3.737373737373737459e+00, -4.414051030369212469e+01, -1.497209153973091622e+00, -4.413853564856260903e+01
-3.535353535353535470e+00, -4.177000000000000313e+01, -1.416283225472584784e+00, -4.177037624824591688e+01
-3.333333333333333481e+00, -3.939962900505902610e+01, -1.335357296972078167e+00, -3.940421037023199347e+01
-3.131313131313131493e+00, -3.703089327943760622e+01, -1.254431368471571551e+00, -3.703707918047187064e+01
-2.929292929292929504e+00, -3.466957453161197833e+01, -1.173505439971064712e+00, -3.466904019039613161e+01
-2.727272727272727071e+00, -3.230099097944196274e+01, -1.092579511470558096e+00, -3.229510977159965535e+01
-2.525252525252525082e+00, -2.992468439863477414e+01, -1.011653582970051257e+00, -2.992467124133693446e+01
-2.323232323232323093e+00, -2.754926101864069921e+01, -9.307276544695445297e-01, -2.755558067619486806e+01
-2.121212121212121104e+00, -2.517999999999999972e+01, -8.498017259690379133e-01, -2.518402566894437911e+01
-1.919191919191919116e+00, -2.281000000000000227e+01, -7.688757974685311858e-01, -2.280996539090444486e+01
-1.717171717171717127e+00, -2.044000000000000128e+01, -6.879498689680244583e-01, -2.043837009852408926e+01
-1.515151515151515138e+00, -1.807000000000000028e+01, -6.070239404675177308e-01, -1.806900252596295786e+01
-1.313131313131313149e+00, -1.569999999999999751e+01, -5.260980119670110033e-01, -1.570043649217247150e+01
-1.111111111111111160e+00, -1.333005477746654144e+01, -4.451720834665042759e-01, -1.333057372656917927e+01
-9.090909090909090606e-01, -1.096037502604347580e+01, -3.642461549659975484e-01, -1.095697851829415015e+01
