# Voltage (V), Field (mT), Current (A), Field (mT)
1.000000000000000000e+01, 9.020000000000000000e+02, -4.015349843987262801e+00, -9.020000000000000000e+02
9.000000000000000000e+00, 8.670000000000000000e+02, -3.613946880142204332e+00, -8.670000000000000000e+02
8.000000000000000000e+00, 8.160000000000000000e+02, -3.212261757219674774e+00, -8.160000000000000000e+02
7.000000000000000000e+00, 7.630000000000000000e+02, -2.810746617511895806e+00, -7.630000000000000000e+02
6.000000000000000000e+00, 7.020000000000000000e+02, -2.409209642977967913e+00, -7.020000000000000000e+02
5.000000000000000000e+00, 6.300000000000000000e+02, -2.007635789466891030e+00, -6.300000000000000000e+02
4.000000000000000000e+00, 5.410000000000000000e+02, -1.606210456131887732e+00, -5.410000000000000000e+02
3.000000000000000000e+00, 4.220000000000000000e+02, -1.204707632574412379e+00, -4.220000000000000000e+02
2.000000000000000000e+00, 2.870000000000000000e+02, -8.031659368571224533e-01, -2.870000000000000000e+02
1.000000000000000000e+00, 1.430000000000000000e+02, -4.017097397220883437e-01, -1.430000000000000000e+02
-1.000000000000000000e+00, -1.390000000000000000e+02, 4.014030112605378453e-01, 1.390000000000000000e+02
-2.000000000000000000e+00, -2.760000000000000000e+02, 8.030433575819660996e-01, 2.760000000000000000e+02
-3.000000000000000000e+00, -4.110000000000000000e+02, 1.204585782146385897e+00, 4.110000000000000000e+02
-4.000000000000000000e+00, -5.300000000000000000e+02, 1.606064268423544661e+00, 5.300000000000000000e+02
-5.000000000000000000e+00, -6.210000000000000000e+02, 2.007554887634314778e+00, 6.210000000000000000e+02
-6.000000000000000000e+00, -6.950000000000000000e+02, 2.409120559383162608e+00, 6.950000000000000000e+02
-7.000000000000000000e+00, -7.560000000000000000e+02, 2.810627968470899685e+00, 7.560000000000000000e+02
-8.000000000000000000e+00, -8.080000000000000000e+02, 3.212186331447506760e+00, 8.080000000000000000e+02
-9.000000000000000000e+00, -8.540000000000000000e+02, 3.613660753148053129e+00, 8.540000000000000000e+02
-1.000000000000000000e+01, -8.950000000000000000e+02, 4.015239893576977082e+00, 8.950000000000000000e+02
