# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -8.960345390725358357e+02, -4.015349843987262801e+00, -9.010282539124931418e+02
-9.797979797979797567e+00, -8.881500516826847615e+02, -3.934232775931058246e+00, -8.951937054136176357e+02
-9.595959595959595134e+00, -8.800568835061683330e+02, -3.853115707874853690e+00, -8.886598324526941042e+02
-9.393939393939394478e+00, -8.717621421992080286e+02, -3.771998639818649579e+00, -8.814999401282287863e+02
-9.191919191919192045e+00, -8.632729354180254404e+02, -3.690881571762445024e+00, -8.737873335387275802e+02
-8.989898989898989612e+00, -8.545963441295929215e+02, -3.609764503706240468e+00, -8.655939242643028138e+02
-8.787878787878787179e+00, -8.457249106966967247e+02, -3.528647435650036357e+00, -8.564812729433333516e+02
-8.585858585858586522e+00, -8.366428132959950972e+02, -3.447530367593831802e+00, -8.463450450501801470e+02
-8.383838383838384090e+00, -8.273415111356854368e+02, -3.366413299537627246e+00, -8.356042698183193806e+02
-8.181818181818181657e+00, -8.178124634239650277e+02, -3.285296231481422691e+00, -8.246779764812272333e+02
-7.979797979797979224e+00, -8.080474343815076281e+02, -3.204179163425218135e+00, -8.139827426981102008e+02
-7.777777777777777679e+00, -7.980660405838800671e+02, -3.123062095369014024e+00, -8.035351207025918256e+02
-7.575757575757576134e+00, -7.878508447672149941e+02, -3.041945027312809469e+00, -7.930765576172431111e+02
-7.373737373737373701e+00, -7.773544593389802912e+02, -2.960827959256604913e+00, -7.824740926369628369e+02
-7.171717171717171269e+00, -7.665294967066438403e+02, -2.879710891200400802e+00, -7.715947649566496693e+02
-6.969696969696969724e+00, -7.553297217316317074e+02, -2.798593823144196246e+00, -7.603083144562668849e+02
-6.767676767676768179e+00, -7.437713984713303716e+02, -2.717476755087991691e+00, -7.486537333641797431e+02
-6.565656565656565746e+00, -7.318416331783754458e+02, -2.636359687031787136e+00, -7.366687711455231238e+02
-6.363636363636363313e+00, -7.194901815304162938e+02, -2.555242618975582580e+00, -7.243156769389554483e+02
-6.161616161616161769e+00, -7.066667992051022793e+02, -2.474125550919378469e+00, -7.115566998831349110e+02
-5.959595959595959336e+00, -6.933217039303897309e+02, -2.393008482863173914e+00, -6.983565027874598172e+02
-5.757575757575757791e+00, -6.794260413545409847e+02, -2.311891414806969358e+00, -6.847464947967001763e+02
-5.555555555555555358e+00, -6.649598230046784693e+02, -2.230774346750765247e+00, -6.706878704059057554e+02
-5.353535353535353813e+00, -6.498983975187796887e+02, -2.149657278694560691e+00, -6.560983160326582038e+02
-5.151515151515151381e+00, -6.342171135348220332e+02, -2.068540210638356136e+00, -6.408955180945389429e+02
-4.949494949494949836e+00, -6.178948659439747644e+02, -1.987423142582151581e+00, -6.250052423801595296e+02
-4.747474747474747403e+00, -6.009559157603277981e+02, -1.906306074525947025e+00, -6.085014330906761870e+02
-4.545454545454545858e+00, -5.833062418250800647e+02, -1.825189006469742914e+00, -5.912965548178282233e+02
-4.343434343434343425e+00, -5.648094288308224122e+02, -1.744071938413538359e+00, -5.732215690258841505e+02
-4.141414141414141881e+00, -5.453290614701461436e+02, -1.662954870357333803e+00, -5.541074371791128215e+02
-3.939393939393939448e+00, -5.246968716307447949e+02, -1.581837802301129692e+00, -5.337491082185517826e+02
-3.737373737373737903e+00, -5.024289359026560646e+02, -1.500720734244925136e+00, -5.115933520211345922e+02
-3.535353535353535470e+00, -4.787209635036726354e+02, -1.419603666188720581e+00, -4.878702747860670570e+02
-3.333333333333333037e+00, -4.539870422318631427e+02, -1.338486598132516026e+00, -4.630579682852618362e+02
-3.131313131313131493e+00, -4.286412598852959377e+02, -1.257369530076311470e+00, -4.376345242906319299e+02
-2.929292929292929060e+00, -4.030129602734065770e+02, -1.176252462020107359e+00, -4.120017488430218009e+02
-2.727272727272727515e+00, -3.764967678431948457e+02, -1.095135393963902803e+00, -3.856521441627604645e+02
-2.525252525252525082e+00, -3.491749738548139135e+02, -1.014018325907698248e+00, -3.585478655814097237e+02
-2.323232323232323537e+00, -3.214191564687633331e+02, -9.329012578514941367e-01, -3.308931135230892551e+02
-2.121212121212121104e+00, -2.936008938455423731e+02, -8.517841897952895813e-01, -3.028920884119183938e+02
-1.919191919191918672e+00, -2.660431102775081627e+02, -7.706671217390850259e-01, -2.746815528875799828e+02
-1.717171717171718015e+00, -2.385339619664123632e+02, -6.895500536828804705e-01, -2.458745378920708617e+02
-1.515151515151515582e+00, -2.109517663049669238e+02, -6.084329856266759151e-01, -2.166127131261291368e+02
-1.313131313131313149e+00, -1.832598146829622294e+02, -5.273159175704718038e-01, -1.871943047903298805e+02
-1.111111111111110716e+00, -1.554213984901883521e+02, -4.461988495142672484e-01, -1.579175390852476539e+02
-9.090909090909100598e-01, -1.274092922839611788e+02, -3.650817814580626930e-01, -1.290191317362992152e+02
-7.070707070707076269e-01, -9.927226055225727919e+01, -2.839647134018585817e-01, -1.002440663191370618e+02
-5.050505050505051940e-01, -7.102965971717745219e+01, -2.028476453456540263e-01, -7.152354920273783989e+01
-3.030303030303027612e-01, -4.268890454096653997e+01, -1.217305772894494709e-01, -4.286495181788865239e+01
-1.010101010101003283e-01, -1.425740978586926389e+01, -4.061350923324491546e-02, -1.427564559537634636e+01
1.010101010101003283e-01, 1.425740978586926389e+01, 4.050355882295963994e-02, 1.423699803401217423e+01
3.030303030303027612e-01, 4.284813941200487619e+01, 1.216206268791637513e-01, 4.266560763948984913e+01
5.050505050505051940e-01, 7.150736433029240402e+01, 2.027376949353687507e-01, 7.100281179027021494e+01
7.070707070707076269e-01, 1.002276697784871544e+02, 2.838547629915728621e-01, 9.924123905556581349e+01
9.090909090909082835e-01, 1.290016409943441147e+02, 3.649718310477769734e-01, 1.273735180045900108e+02
1.111111111111110716e+00, 1.578980106361464095e+02, 4.460888991039819729e-01, 1.553799101575310146e+02
1.313131313131313149e+00, 1.871699315752803727e+02, 5.272059671601860842e-01, 1.832103680331600515e+02
1.515151515151515582e+00, 2.165816117531679481e+02, 6.083230352163901955e-01, 2.108932739069720128e+02
1.717171717171716239e+00, 2.458365269474244030e+02, 6.894401032725951950e-01, 2.384667597843113640e+02
1.919191919191918672e+00, 2.746381529356658575e+02, 7.705571713287993063e-01, 2.659689576705216041e+02
2.121212121212121104e+00, 3.028465446069868676e+02, 8.516742393850034176e-01, 2.935224338215343778e+02
2.323232323232323537e+00, 3.308478342795999652e+02, 9.327913074412084171e-01, 3.213382314577078205e+02
2.525252525252524194e+00, 3.585039258329827589e+02, 1.013908375497412528e+00, 3.490931488610119686e+02
2.727272727272726627e+00, 3.856095663313773798e+02, 1.095025443553617528e+00, 3.764153468641572999e+02
2.929292929292929060e+00, 4.119595028390251628e+02, 1.176142511609821639e+00, 4.029329862998532690e+02
3.131313131313131493e+00, 4.375916062853043513e+02, 1.257259579666025751e+00, 4.285631924755966793e+02
3.333333333333333925e+00, 4.630140229661837452e+02, 1.338376647722230750e+00, 4.539120183735342380e+02
3.535353535353534582e+00, 4.878245785723051995e+02, 1.419493715778434861e+00, 4.786497959983643113e+02
3.737373737373737015e+00, 5.115450337875159903e+02, 1.500610783834639861e+00, 5.023617182543050603e+02
3.939393939393939448e+00, 5.336971492956625980e+02, 1.581727851890843972e+00, 5.246329780455740774e+02
4.141414141414141881e+00, 5.540508350998381957e+02, 1.662844919947048083e+00, 5.452675931277393602e+02
4.343434343434342537e+00, 5.731592744496568912e+02, 1.743961988003253083e+00, 5.647502956436013619e+02
4.545454545454544970e+00, 5.912284463251063471e+02, 1.825079056059457194e+00, 5.832491410048556872e+02
4.747474747474747403e+00, 6.084284767397267615e+02, 1.906196124115661306e+00, 6.009002510005273052e+02
4.949494949494949836e+00, 6.249294917070583324e+02, 1.987313192171866305e+00, 6.178397474196410712e+02
5.151515151515150492e+00, 6.408198216193155758e+02, 2.068430260228070416e+00, 6.341613236950913688e+02
5.353535353535352925e+00, 6.560244142313506472e+02, 2.149547328284274528e+00, 6.498409307227387899e+02
5.555555555555555358e+00, 6.706166097334565848e+02, 2.230664396340479527e+00, 6.649002795369120804e+02
5.757575757575757791e+00, 6.846779135875500515e+02, 2.311781464396683639e+00, 6.793646215615583515e+02
5.959595959595958448e+00, 6.982898312555474831e+02, 2.392898532452888638e+00, 6.932592082206249415e+02
6.161616161616162657e+00, 7.114909019123105054e+02, 2.474015600509092749e+00, 7.066043713626862655e+02
6.363636363636363313e+00, 7.242504201323885127e+02, 2.555132668565296861e+00, 7.194284957461454724e+02
6.565656565656563970e+00, 7.366038066622016913e+02, 2.636249736621501860e+00, 7.317809524294581252e+02
6.767676767676768179e+00, 7.485888763704898565e+02, 2.717366804677705971e+00, 7.437115837905115541e+02
6.969696969696968836e+00, 7.602434441259924824e+02, 2.798483872733910971e+00, 7.552702322071935441e+02
7.171717171717173045e+00, 7.715295234222508043e+02, 2.879600940790115082e+00, 7.664694818607123352e+02
7.373737373737373701e+00, 7.824078808620491827e+02, 2.960718008846319194e+00, 7.772933602016853456e+02
7.575757575757574358e+00, 7.930093671793592875e+02, 3.041835076902524193e+00, 7.877885266861557056e+02
7.777777777777778567e+00, 8.034675527879056744e+02, 3.122952144958728304e+00, 7.980027881992654102e+02
