# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -4.615985507246375619e+02, -4.000901194188735133e+00, -4.896793420734334177e+02
-9.797979797979797567e+00, -4.582999999999999545e+02, -3.920903283198235112e+00, -4.863046290653268215e+02
-9.595959595959595134e+00, -4.548999999999999773e+02, -3.840905372207735091e+00, -4.829464826113779736e+02
-9.393939393939394478e+00, -4.513999999999999773e+02, -3.760907461217235070e+00, -4.793822142511697280e+02
-9.191919191919192045e+00, -4.478999999999999773e+02, -3.680909550226735050e+00, -4.758245121062132625e+02
-8.989898989898989612e+00, -4.441999999999999886e+02, -3.600911639236235029e+00, -4.721601240954890955e+02
-8.787878787878787179e+00, -4.408000000000000114e+02, -3.520913728245735008e+00, -4.684987264562406040e+02
-8.585858585858586522e+00, -4.368000000000000114e+02, -3.440915817255234987e+00, -4.647502658403491864e+02
-8.383838383838384090e+00, -4.328999999999999773e+02, -3.360917906264734967e+00, -4.609809472627660512e+02
-8.181818181818181657e+00, -4.290999999999999659e+02, -3.280919995274234946e+00, -4.570389521875699188e+02
-7.979797979797979224e+00, -4.251999999999999886e+02, -3.200922084283734925e+00, -4.530764274907687081e+02
-7.777777777777777679e+00, -4.210999999999999659e+02, -3.120924173293234904e+00, -4.490283898943864074e+02
-7.575757575757576134e+00, -4.169999999999999432e+02, -3.040926262302734884e+00, -4.449939620355780789e+02
-7.373737373737373701e+00, -4.127999999999999545e+02, -2.960928351312234863e+00, -4.405589006467351965e+02
-7.171717171717171269e+00, -4.082999999999999545e+02, -2.880930440321734842e+00, -4.363072650278955962e+02
-6.969696969696969724e+00, -4.038999999999999773e+02, -2.800932529331234822e+00, -4.315896931694649084e+02
-6.767676767676768179e+00, -3.990000000000000000e+02, -2.720934618340734801e+00, -4.271317222900225943e+02
-6.565656565656565746e+00, -3.946999999999999886e+02, -2.640936707350234780e+00, -4.222528652507654670e+02
-6.363636363636363313e+00, -3.892999999999999545e+02, -2.560938796359734759e+00, -4.171368718876394723e+02
-6.161616161616161769e+00, -3.837999999999999545e+02, -2.480940885369234739e+00, -4.117495741513801590e+02
-5.959595959595959336e+00, -3.783999999999999773e+02, -2.400942974378734718e+00, -4.060294539742952793e+02
-5.757575757575757791e+00, -3.725000000000000000e+02, -2.320945063388234697e+00, -4.001677559810710818e+02
-5.555555555555555358e+00, -3.664999999999999432e+02, -2.240947152397734676e+00, -3.939907552516590385e+02
-5.353535353535353813e+00, -3.601999999999999886e+02, -2.160949241407234656e+00, -3.876143345589633213e+02
-5.151515151515151381e+00, -3.537999999999999545e+02, -2.080951330416734635e+00, -3.808289941493438846e+02
-4.949494949494949836e+00, -3.471000000000000227e+02, -2.000953419426234614e+00, -3.743167037527749699e+02
-4.747474747474747403e+00, -3.405000000000000000e+02, -1.920955508435734593e+00, -3.668145087828755209e+02
-4.545454545454545858e+00, -3.328999999999999773e+02, -1.840957597445234573e+00, -3.598400297257507532e+02
-4.343434343434343425e+00, -3.260000000000000000e+02, -1.760959686454734552e+00, -3.505723598722000816e+02
-4.141414141414141881e+00, -3.172000000000000455e+02, -1.680961775464234531e+00, -3.433486601144320502e+02
-3.939393939393939448e+00, -3.100000000000000000e+02, -1.600963864473734510e+00, -3.343986228526711102e+02
-3.737373737373737903e+00, -2.998999999999999773e+02, -1.520965953483234490e+00, -3.255526871242202560e+02
-3.535353535353535470e+00, -2.916999999999999886e+02, -1.440968042492734469e+00, -3.158400624711852060e+02
-3.333333333333333037e+00, -2.804999999999999432e+02, -1.360970131502234448e+00, -3.036216239751973376e+02
-3.131313131313131493e+00, -2.695999999999999659e+02, -1.280972220511734427e+00, -2.921518093087998409e+02
-2.929292929292929060e+00, -2.582999999999999545e+02, -1.200974309521234407e+00, -2.774124925712137042e+02
-2.727272727272727515e+00, -2.453000000000000966e+02, -1.120976398530734386e+00, -2.613136093314054165e+02
-2.525252525252525082e+00, -2.314000000000000057e+02, -1.040978487540234365e+00, -2.446236405860683192e+02
-2.323232323232323537e+00, -2.163000000000000398e+02, -9.609805765497343444e-01, -2.289699467328644573e+02
-2.121212121212121104e+00, -2.029000000000000057e+02, -8.809826655592343236e-01, -2.103955600922761846e+02
-1.919191919191918672e+00, -1.828999999999999773e+02, -8.009847545687343029e-01, -1.926007496212324384e+02
-1.717171717171718015e+00, -1.653000000000000966e+02, -7.209868435782342821e-01, -1.735064766523591118e+02
-1.515151515151515582e+00, -1.466000000000000512e+02, -6.409889325877342614e-01, -1.536027879648073338e+02
-1.313131313131313149e+00, -1.282000000000000171e+02, -5.609910215972342407e-01, -1.344955088177478615e+02
-1.111111111111110716e+00, -1.087999999999999545e+02, -4.809931106067342199e-01, -1.153261431328086530e+02
-9.090909090909100598e-01, -8.970000000000010232e+01, -4.009951996162341992e-01, -9.597048844045450267e+01
-7.070707070707076269e-01, -7.000000000000005684e+01, -3.209972886257341784e-01, -7.664456237739632627e+01
-5.050505050505051940e-01, -4.780000000000000426e+01, -2.409993776352341577e-01, -5.734199105512004735e+01
-3.030303030303027612e-01, -3.059999999999996589e+01, -1.610014666447341369e-01, -3.801085637886554025e+01
-1.010101010101003283e-01, -8.599999999999937472e+00, -8.100355565423411619e-02, -1.836691613218899022e+01
1.010101010101003283e-01, 8.599999999999939249e+00, -1.005644663734095445e-03, -2.444252220784299823e-01
3.030303030303027612e-01, 2.849999999999997513e+01, 7.899226632676636939e-02, 1.919932848617301957e+01
5.050505050505051940e-01, 4.790000000000001279e+01, 1.589901773172659460e-01, 3.870383376030784461e+01
7.070707070707076269e-01, 6.760000000000005116e+01, 2.389880883077655227e-01, 5.778922051921801994e+01
9.090909090909082835e-01, 8.689999999999992042e+01, 3.189859992982659875e-01, 7.905118876148105755e+01
1.111111111111110716e+00, 1.066999999999999602e+02, 3.989839102887664524e-01, 9.814511563525982751e+01
1.313131313131313149e+00, 1.259000000000000057e+02, 4.789818212792660290e-01, 1.172102700874579284e+02
1.515151515151515582e+00, 1.455000000000000000e+02, 5.589797322697656057e-01, 1.359976043170335629e+02
1.717171717171716239e+00, 1.645999999999999091e+02, 6.389776432602660705e-01, 1.543332287099471216e+02
1.919191919191918672e+00, 1.856999999999999602e+02, 7.189755542507665353e-01, 1.722950541017814601e+02
2.121212121212121104e+00, 2.023000000000000114e+02, 7.989734652412661120e-01, 1.908889841736915116e+02
2.323232323232323537e+00, 2.227000000000000171e+02, 8.789713762317656887e-01, 2.083112312786714995e+02
2.525252525252524194e+00, 2.381999999999999034e+02, 9.589692872222661535e-01, 2.218023405985520355e+02
2.727272727272726627e+00, 2.553999999999999488e+02, 1.038967198212766618e+00, 2.371565239723796878e+02
2.929292929292929060e+00, 2.712999999999999545e+02, 1.118965109203266195e+00, 2.536468175420592672e+02
3.131313131313131493e+00, 2.879000000000000341e+02, 1.198963020193765772e+00, 2.506997831259101588e+02
3.333333333333333925e+00, 2.993000000000000114e+02, 1.278960931184266236e+00, 2.737576348881219701e+02
3.535353535353534582e+00, 3.120999999999999659e+02, 1.358958842174766701e+00, 2.841507265402843814e+02
3.737373737373737015e+00, 3.226999999999999886e+02, 1.438956753165266278e+00, 2.943282629166326387e+02
3.939393939393939448e+00, 3.313000000000000114e+02, 1.518954664155765855e+00, 3.028567911034479039e+02
4.141414141414141881e+00, 3.412000000000001023e+02, 1.598952575146266319e+00, 3.121769329695953274e+02
4.343434343434342537e+00, 3.478999999999999773e+02, 1.678950486136766784e+00, 3.195499530686128651e+02
4.545454545454544970e+00, 3.576999999999999886e+02, 1.758948397127266361e+00, 3.279043096026378521e+02
4.747474747474747403e+00, 3.647000000000000455e+02, 1.838946308117765938e+00, 3.347848243892514688e+02
4.949494949494949836e+00, 3.725000000000000000e+02, 1.918944219108266402e+00, 3.421550581561686499e+02
5.151515151515150492e+00, 3.790999999999999659e+02, 1.998942130098766867e+00, 3.486540639915797328e+02
5.353535353535352925e+00, 3.860000000000000000e+02, 2.078940041089266444e+00, 3.552323939264076103e+02
5.555555555555555358e+00, 3.925000000000000568e+02, 2.158937952079766021e+00, 3.615432447846770856e+02
5.757575757575757791e+00, 3.988000000000000114e+02, 2.238935863070266485e+00, 3.677119424170155071e+02
5.959595959595958448e+00, 4.047600000000000477e+02, 2.318933774060766950e+00, 3.736327241572637945e+02
6.161616161616162657e+00, 4.106000000000000227e+02, 2.398931685051266527e+00, 3.793815117559608439e+02
6.363636363636363313e+00, 4.161000000000000227e+02, 2.478929596041766104e+00, 3.847260687555343566e+02
6.565656565656563970e+00, 4.212999999999999545e+02, 2.558927507032266568e+00, 3.901723708905870467e+02
6.767676767676768179e+00, 4.263000000000000114e+02, 2.638925418022767033e+00, 3.953704313914877844e+02
6.969696969696968836e+00, 4.308000000000000114e+02, 2.718923329013266610e+00, 3.996464159882594345e+02
7.171717171717173045e+00, 4.356000000000000227e+02, 2.798921240003766187e+00, 4.044671798711471524e+02
7.373737373737373701e+00, 4.399000000000000341e+02, 2.878919150994266651e+00, 4.088131550931026936e+02
7.575757575757574358e+00, 4.443999999999999773e+02, 2.958917061984767116e+00, 4.132387165930455808e+02
7.777777777777778567e+00, 4.485000000000000568e+02, 3.038914972975266693e+00, 4.173841314396519806e+02
7.979797979797979224e+00, 4.526000000000000227e+02, 3.118912883965766270e+00, 4.214379288917086228e+02
8.181818181818179880e+00, 4.565999999999999659e+02, 3.198910794956266734e+00, 4.254830509769302012e+02
8.383838383838384090e+00, 4.606000000000000227e+02, 3.278908705946767199e+00, 4.293284447372853379e+02
8.585858585858584746e+00, 4.643999999999999204e+02, 3.358906616937266776e+00, 4.330925874198786687e+02
8.787878787878788955e+00, 4.682000000000001023e+02, 3.438904527927766352e+00, 4.369681311797650096e+02
8.989898989898989612e+00, 4.719000000000000341e+02, 3.518902438918266817e+00, 4.409044524834764047e+02
9.191919191919190268e+00, 4.755999999999999659e+02, 3.598900349908767282e+00, 4.442677762152133596e+02
9.393939393939394478e+00, 4.792000000000000455e+02, 3.678898260899266859e+00, 4.479265715861903345e+02
9.595959595959595134e+00, 4.828000000000000114e+02, 3.758896171889766435e+00, 4.513842368133823584e+02
9.797979797979799343e+00, 4.862000000000001023e+02, 3.838894082880266900e+00, 4.548538006618415466e+02
1.000000000000000000e+01, 4.896000000000000227e+02, 3.918891993870767365e+00, 4.582206579265665596e+02
