# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, 1.326500000000000000e+03, 3.997114175388313928e+00, -1.326500000000000000e+03
-9.899497487437185939e+00, 1.325800000000000182e+03, 3.956919536611168908e+00, -1.325800000000000182e+03
-9.798994974874371877e+00, 1.324899999999999864e+03, 3.916731738490867087e+00, -1.324899999999999864e+03
-9.698492462311557816e+00, 1.324100000000000136e+03, 3.876543418168077793e+00, -1.324100000000000136e+03
-9.597989949748743754e+00, 1.323000000000000000e+03, 3.836364567978655771e+00, -1.323000000000000000e+03
-9.497487437185929693e+00, 1.322000000000000000e+03, 3.796273549188924346e+00, -1.322000000000000000e+03
-9.396984924623115631e+00, 1.320899999999999864e+03, 3.756023181757390361e+00, -1.320899999999999864e+03
-9.296482412060301570e+00, 1.319800000000000182e+03, 3.715765455051027288e+00, -1.319800000000000182e+03
-9.195979899497487509e+00, 1.318799999999999955e+03, 3.675734401082896063e+00, -1.318799999999999955e+03
-9.095477386934673447e+00, 1.317700000000000045e+03, 3.635567138607576965e+00, -1.317700000000000045e+03
-8.994974874371859386e+00, 1.316400000000000091e+03, 3.595385153896379915e+00, -1.316400000000000091e+03
-8.894472361809045324e+00, 1.315199999999999818e+03, 3.555122707579136065e+00, -1.315199999999999818e+03
-8.793969849246231263e+00, 1.313900000000000091e+03, 3.514988587710154988e+00, -1.313900000000000091e+03
-8.693467336683417201e+00, 1.312299999999999955e+03, 3.474791887238521504e+00, -1.312299999999999955e+03
-8.592964824120603140e+00, 1.311600000000000136e+03, 3.434635685369885394e+00, -1.311600000000000136e+03
-8.492462311557789079e+00, 1.309800000000000182e+03, 3.394350637596792453e+00, -1.309800000000000182e+03
-8.391959798994975017e+00, 1.308700000000000045e+03, 3.354156050206378303e+00, -1.308700000000000045e+03
-8.291457286432160956e+00, 1.308000000000000000e+03, 3.314014583210379783e+00, -1.308000000000000000e+03
-8.190954773869346894e+00, 1.306200000000000045e+03, 3.273961998723158739e+00, -1.306200000000000045e+03
-8.090452261306532833e+00, 1.304799999999999955e+03, 3.233781094078009843e+00, -1.304799999999999955e+03
-7.989949748743718771e+00, 1.303700000000000045e+03, 3.193648050527952531e+00, -1.303700000000000045e+03
-7.889447236180904710e+00, 1.301900000000000091e+03, 3.153302014566804701e+00, -1.301900000000000091e+03
-7.788944723618090649e+00, 1.300400000000000091e+03, 3.113258382081409703e+00, -1.300400000000000091e+03
-7.688442211055276587e+00, 1.299000000000000000e+03, 3.073114302732028236e+00, -1.299000000000000000e+03
-7.587939698492462526e+00, 1.297400000000000091e+03, 3.032902909079891796e+00, -1.297400000000000091e+03
-7.487437185929648464e+00, 1.295799999999999955e+03, 2.992716761966631278e+00, -1.295799999999999955e+03
-7.386934673366834403e+00, 1.294200000000000045e+03, 2.952575846072778010e+00, -1.294200000000000045e+03
-7.286432160804020342e+00, 1.292700000000000045e+03, 2.912296091441421098e+00, -1.292700000000000045e+03
-7.185929648241206280e+00, 1.291000000000000000e+03, 2.872122048046218623e+00, -1.291000000000000000e+03
-7.085427135678392219e+00, 1.289299999999999955e+03, 2.832025316467097653e+00, -1.289299999999999955e+03
-6.984924623115578157e+00, 1.287400000000000091e+03, 2.791883884616424893e+00, -1.287400000000000091e+03
-6.884422110552764096e+00, 1.285700000000000045e+03, 2.751719840837249631e+00, -1.285700000000000045e+03
-6.783919597989950034e+00, 1.283900000000000091e+03, 2.711521614981203143e+00, -1.283900000000000091e+03
