# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, 1.325527172462395811e+03, -3.997614510007574395e+00, 1.328502351880092419e+03
-9.797979797979797567e+00, 1.323918638624894129e+03, -3.916859674801555613e+00, 1.326393948116414549e+03
-9.595959595959595134e+00, 1.322006065959093576e+03, -3.836104839595535942e+00, 1.323975769768171858e+03
-9.393939393939394478e+00, 1.319893792486591565e+03, -3.755350004389517160e+00, 1.321567253603227300e+03
-9.191919191919192045e+00, 1.317784820451020096e+03, -3.674595169183497489e+00, 1.319048212692428706e+03
-8.989898989898989612e+00, 1.315364497101501911e+03, -3.593840333977478707e+00, 1.316440076078815082e+03
-8.787878787878787179e+00, 1.312836894736245085e+03, -3.513085498771459925e+00, 1.313826748648567218e+03
-8.585858585858586522e+00, 1.310546241911838024e+03, -3.432330663565440698e+00, 1.311399003007873262e+03
-8.383838383838384090e+00, 1.307661834816531609e+03, -3.351575828359421916e+00, 1.308584012686592132e+03
-8.181818181818181657e+00, 1.305085489517241740e+03, -3.270820993153403133e+00, 1.305790054613082930e+03
-7.979797979797979224e+00, 1.302579322176735332e+03, -3.190066157947383463e+00, 1.302939265627271425e+03
-7.777777777777777679e+00, 1.299268402930837965e+03, -3.109311322741364680e+00, 1.299938371677811119e+03
-7.575757575757576134e+00, 1.296233233068456457e+03, -3.028556487535345454e+00, 1.296717467510137340e+03
-7.373737373737373701e+00, 1.293026812305289013e+03, -2.947801652329326672e+00, 1.293685085257639230e+03
-7.171717171717171269e+00, 1.289788390029809989e+03, -2.867046817123307445e+00, 1.290245998838058767e+03
-6.969696969696969724e+00, 1.286160240825859091e+03, -2.786291981917288219e+00, 1.286841966919848346e+03
-6.767676767676768179e+00, 1.282627002010118531e+03, -2.705537146711269436e+00, 1.282988285003106967e+03
-6.565656565656565746e+00, 1.278684929504297315e+03, -2.624782311505249766e+00, 1.278960976377936959e+03
-6.363636363636363313e+00, 1.274547936071438926e+03, -2.544027476299230983e+00, 1.274789427860702290e+03
-6.161616161616161769e+00, 1.270074423662607614e+03, -2.463272641093212201e+00, 1.270388128421542888e+03
-5.959595959595959336e+00, 1.265095076765010845e+03, -2.382517805887192974e+00, 1.265262928491941238e+03
-5.757575757575757791e+00, 1.259560778933100210e+03, -2.301762970681174192e+00, 1.259648063534162020e+03
-5.555555555555555358e+00, 1.252373900737129361e+03, -2.221008135475154965e+00, 1.252494449044427256e+03
-5.353535353535353813e+00, 1.243732819449466433e+03, -2.140253300269135739e+00, 1.243678362776338417e+03
-5.151515151515151381e+00, 1.233247357973975568e+03, -2.059498465063116512e+00, 1.233026402759644952e+03
-4.949494949494949836e+00, 1.220882560992917888e+03, -1.978743629857097508e+00, 1.220466872546815921e+03
-4.747474747474747403e+00, 1.205210533136600134e+03, -1.897988794651078726e+00, 1.204634628663959347e+03
-4.545454545454545858e+00, 1.183814105701345625e+03, -1.817233959445059499e+00, 1.182613072864914102e+03
-4.343434343434343425e+00, 1.156231161239838457e+03, -1.736479124239040495e+00, 1.154871092147272748e+03
-4.141414141414141881e+00, 1.124106574350339315e+03, -1.655724289033021268e+00, 1.122363782914793319e+03
-3.939393939393939448e+00, 1.088457249248529934e+03, -1.574969453827002486e+00, 1.086130118767424165e+03
-3.737373737373737903e+00, 1.048927165437349913e+03, -1.494214618620983259e+00, 1.046319926068418454e+03
-3.535353535353535470e+00, 1.005596688583596233e+03, -1.413459783414964255e+00, 1.002756481016927410e+03
-3.333333333333333037e+00, 9.584611519945717646e+02, -1.332704948208945028e+00, 9.553415461619636062e+02
-3.131313131313131493e+00, 9.077657791407443710e+02, -1.251950113002926024e+00, 9.045818985958095482e+02
-2.929292929292929060e+00, 8.545235411052302652e+02, -1.171195277796907019e+00, 8.513187233348464815e+02
-2.727272727272727515e+00, 7.997008197331940664e+02, -1.090440442590888015e+00, 7.955214277954556792e+02
-2.525252525252525082e+00, 7.434081726157187404e+02, -1.009685607384868788e+00, 7.382984814404517238e+02
-2.323232323232323537e+00, 6.862346809264240619e+02, -9.289307721788496730e-01, 6.779658328626019284e+02
-2.121212121212121104e+00, 6.281780557610419464e+02, -8.481759369728308906e-01, 6.188856794427834984e+02
-1.919191919191918672e+00, 5.695320041433054712e+02, -7.674211017668114421e-01, 5.607637728584815022e+02
-1.717171717171718015e+00, 5.102143795849264620e+02, -6.866662665607926597e-01, 5.024873048524940486e+02
-1.515151515151515582e+00, 4.502140102702545050e+02, -6.059114313547738773e-01, 4.440004489657491149e+02
-1.313131313131313149e+00, 3.898239444883386113e+02, -5.251565961487543177e-01, 3.854720047353163750e+02
-1.111111111111110716e+00, 3.291204526660483793e+02, -4.444017609427355353e-01, 3.266283984556234827e+02
-9.090909090909100598e-01, 2.692327978530485098e+02, -3.636469257367160868e-01, 2.677362066484447496e+02
-7.070707070707076269e-01, 2.093293159134211692e+02, -2.828920905306972489e-01, 2.083876251311504006e+02
-5.050505050505051940e-01, 1.494803284760483848e+02, -2.021372553246784942e-01, 1.491550532772018300e+02
-3.030303030303027612e-01, 8.972717246239599831e+01, -1.213824201186589902e-01, 8.972401738687415218e+01
-1.010101010101003283e-01, 2.993465330381041412e+01, -4.062758491264020777e-02, 3.009464223914041980e+01
1.010101010101003283e-01, -2.993465330381041767e+01, 4.012725029337929628e-02, -2.972402234138190735e+01
3.030303030303027612e-01, -8.947967271706899339e+01, 1.208820854993980787e-01, -8.947367751003457670e+01
5.050505050505051940e-01, -1.489806955873040408e+02, 2.016369207054168611e-01, -1.493038570653881152e+02
7.070707070707076269e-01, -2.082599679755477382e+02, 2.823917559114363374e-01, -2.091522289133712889e+02
9.090909090909082835e-01, -2.675215898206623706e+02, 3.631465911174551753e-01, -2.689981391232790884e+02
1.111111111111110716e+00, -3.264506053153816083e+02, 4.439014263234739577e-01, -3.289606828195513799e+02
1.313131313131313149e+00, -3.853022865137484700e+02, 5.246562615294934062e-01, -3.895883537269830299e+02
1.515151515151515582e+00, -4.438344168449964400e+02, 6.054110967355121886e-01, -4.500068369987878327e+02
1.717171717171716239e+00, -5.022840789066108300e+02, 6.861659319415317482e-01, -5.099272150832692319e+02
1.919191919191918672e+00, -5.606700556909161151e+02, 7.669207671475505306e-01, -5.693615041037239735e+02
2.121212121212121104e+00, -6.187175542585865742e+02, 8.476756023535693130e-01, -6.279283638019255704e+02
2.323232323232323537e+00, -6.777611445406896564e+02, 9.284304375595887615e-01, -6.860265470193634201e+02
2.525252525252524194e+00, -7.381672435293319268e+02, 1.009185272765607655e+00, -7.432261247891401581e+02
2.727272727272726627e+00, -7.953192360602899953e+02, 1.089940107971627103e+00, -7.994501780875081067e+02
2.929292929292929060e+00, -8.511659510238188204e+02, 1.170694943177645886e+00, -8.543714455762864191e+02
3.131313131313131493e+00, -9.044419931979140301e+02, 1.251449778383664668e+00, -9.075360741376763372e+02
3.333333333333333925e+00, -9.551622218443076235e+02, 1.332204613589684117e+00, -9.582352283503897752e+02
3.535353535353534582e+00, -1.002613408189803181e+03, 1.412959448795702899e+00, -1.005396424254809745e+03
3.737373737373737015e+00, -1.046133727379225547e+03, 1.493714284001722348e+00, -1.048692315774739882e+03
3.939393939393939448e+00, -1.085952213968314254e+03, 1.574469119207741130e+00, -1.088233151383050881e+03
4.141414141414141881e+00, -1.122199423375049491e+03, 1.655223954413759913e+00, -1.123872008169668106e+03
4.343434343434342537e+00, -1.154666855902691850e+03, 1.735978789619779583e+00, -1.155991662250476566e+03
4.545454545454544970e+00, -1.182414160996036117e+03, 1.816733624825798366e+00, -1.183599299947334657e+03
4.747474747474747403e+00, -1.204431800626427730e+03, 1.897488460031817814e+00, -1.204986597039042863e+03
4.949494949494949836e+00, -1.220254105370419211e+03, 1.978243295237836596e+00, -1.220658328335824081e+03
5.151515151515150492e+00, -1.232808287028611630e+03, 2.058998130443855157e+00, -1.233010178229739495e+03
5.353535353535352925e+00, -1.243462875694238392e+03, 2.139752965649874827e+00, -1.243508172740055670e+03
5.555555555555555358e+00, -1.252278980509664962e+03, 2.220507800855893610e+00, -1.252142297667438925e+03
5.757575757575757791e+00, -1.259422982767216581e+03, 2.301262636061912392e+00, -1.259324841492926225e+03
5.959595959595958448e+00, -1.265039806016239709e+03, 2.382017471267932063e+00, -1.264870088284555322e+03
6.161616161616162657e+00, -1.270164874850184106e+03, 2.462772306473951289e+00, -1.269845655276959633e+03
6.363636363636363313e+00, -1.274558038930268594e+03, 2.543527141679969628e+00, -1.274317167630526228e+03
6.565656565656563970e+00, -1.278738768695948011e+03, 2.624281976885988854e+00, -1.278458944698663572e+03
6.767676767676768179e+00, -1.282762302918719115e+03, 2.705036812092008525e+00, -1.282398062395715669e+03
6.969696969696968836e+00, -1.286613495223081600e+03, 2.785791647298026419e+00, -1.285930356868947456e+03
7.171717171717173045e+00, -1.290021825320761764e+03, 2.866546482504046089e+00, -1.289562983145316366e+03
7.373737373737373701e+00, -1.293454699907654913e+03, 2.947301317710065760e+00, -1.292797609783253620e+03
7.575757575757574358e+00, -1.296491653230476004e+03, 3.028056152916083654e+00, -1.296004734287645306e+03
7.777777777777778567e+00, -1.299711730616928662e+03, 3.108810988122103325e+00, -1.299039169351644205e+03
7.979797979797979224e+00, -1.302710232983416972e+03, 3.189565823328122551e+00, -1.302349249697112327e+03
8.181818181818179880e+00, -1.305561418285699119e+03, 3.270320658534142222e+00, -1.304856238164873503e+03
8.383838383838384090e+00, -1.308358287586517008e+03, 3.351075493740160116e+00, -1.307435463149421366e+03
8.585858585858584746e+00, -1.311172811460085768e+03, 3.431830328946179787e+00, -1.310317961171813295e+03
8.787878787878788955e+00, -1.313597426283415189e+03, 3.512585164152199013e+00, -1.312608564547300830e+03
8.989898989898989612e+00, -1.316213508048430640e+03, 3.593339999358217351e+00, -1.315134563323038719e+03
9.191919191919190268e+00, -1.318820302285078924e+03, 3.674094834564236578e+00, -1.317554792102947431e+03
9.393939393939394478e+00, -1.321337993302330233e+03, 3.754849669770256249e+00, -1.319665539685673139e+03
9.595959595959595134e+00, -1.323749810142891192e+03, 3.835604504976274143e+00, -1.321777857134706892e+03
9.797979797979799343e+00, -1.326161674985509535e+03, 3.916359340182293813e+00, -1.323689817741603292e+03
1.000000000000000000e+01, -1.328272827537604144e+03, 3.997114175388313928e+00, -1.325297648119907535e+03
