# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -3.760000000000000142e+01, 3.997280890480900073e+00, 3.760000000000000142e+01
-9.899497487437185939e+00, -3.721999999999999886e+01, 3.957134635874412609e+00, 3.721999999999999886e+01
-9.798994974874371877e+00, -3.684000000000000341e+01, 3.916893194402053080e+00, 3.684000000000000341e+01
-9.698492462311557816e+00, -3.646999999999999886e+01, 3.876611787114415009e+00, 3.646999999999999886e+01
-9.597989949748743754e+00, -3.609000000000000341e+01, 3.836410848491983216e+00, 3.609000000000000341e+01
-9.497487437185929693e+00, -3.571000000000000085e+01, 3.796261979061625880e+00, 3.571000000000000085e+01
-9.396984924623115631e+00, -3.532999999999999829e+01, 3.756195155907088079e+00, 3.532999999999999829e+01
-9.296482412060301570e+00, -3.496000000000000085e+01, 3.715941636504001888e+00, 3.496000000000000085e+01
-9.195979899497487509e+00, -3.457900000000000063e+01, 3.675802769999098274e+00, 3.457900000000000063e+01
-9.095477386934673447e+00, -3.420000000000000284e+01, 3.635571871839837321e+00, 3.420000000000000284e+01
-8.994974874371859386e+00, -3.382000000000000028e+01, 3.595372531944743155e+00, 3.382000000000000028e+01
-8.894472361809045324e+00, -3.342999999999999972e+01, 3.555307303606669578e+00, 3.342999999999999972e+01
-8.793969849246231263e+00, -3.307000000000000028e+01, 3.515002261488860746e+00, 3.307000000000000028e+01
-8.693467336683417201e+00, -3.267999999999999972e+01, 3.474900751544920841e+00, 3.267999999999999972e+01
-8.592964824120603140e+00, -3.231000000000000227e+01, 3.434659351521587300e+00, 3.231000000000000227e+01
-8.492462311557789079e+00, -3.192999999999999972e+01, 3.394483168036042997e+00, 3.192999999999999972e+01
-8.391959798994975017e+00, -3.155000000000000071e+01, 3.354324342814812621e+00, 3.155000000000000071e+01
-8.291457286432160956e+00, -3.117999999999999972e+01, 3.314131336198715250e+00, 3.117999999999999972e+01
-8.190954773869346894e+00, -3.080000000000000071e+01, 3.274044041357557777e+00, 3.080000000000000071e+01
-8.090452261306532833e+00, -3.042000000000000171e+01, 3.233748487392356541e+00, 3.042000000000000171e+01
-7.989949748743718771e+00, -3.003999999999999915e+01, 3.193624384386827941e+00, 3.003999999999999915e+01
-7.889447236180904710e+00, -2.966000000000000014e+01, 3.153413508379344421e+00, 2.966000000000000014e+01
-7.788944723618090649e+00, -2.928000000000000114e+01, 3.113324121353146179e+00, 2.928000000000000114e+01
-7.688442211055276587e+00, -2.889999999999999858e+01, 3.073167945974116577e+00, 2.889999999999999858e+01
-7.587939698492462526e+00, -2.851999999999999957e+01, 3.032974959312004781e+00, 2.851999999999999957e+01
-7.487437185929648464e+00, -2.814999999999999858e+01, 2.992750420467019445e+00, 2.814999999999999858e+01
-7.386934673366834403e+00, -2.776999999999999957e+01, 2.952631592960449858e+00, 2.776999999999999957e+01
-7.286432160804020342e+00, -2.739000000000000057e+01, 2.912413896177724837e+00, 2.739000000000000057e+01
-7.185929648241206280e+00, -2.701000000000000156e+01, 2.872177794926902283e+00, 2.701000000000000156e+01
-7.085427135678392219e+00, -2.664000000000000057e+01, 2.832073174635340251e+00, 2.664000000000000057e+01
-6.984924623115578157e+00, -2.626000000000000156e+01, 2.791948046112893156e+00, 2.626000000000000156e+01
-6.884422110552764096e+00, -2.587999999999999901e+01, 2.751768224913721639e+00, 2.587999999999999901e+01
-6.783919597989950034e+00, -2.550000000000000000e+01, 2.711558428950324728e+00, 2.550000000000000000e+01
-6.683417085427135973e+00, -2.512000000000000099e+01, 2.671294992058245832e+00, 2.512000000000000099e+01
-6.582914572864321912e+00, -2.473999999999999844e+01, 2.631239819263951230e+00, 2.473999999999999844e+01
-6.482412060301507850e+00, -2.437000000000000099e+01, 2.591008467528689518e+00, 2.437000000000000099e+01
-6.381909547738693789e+00, -2.398999999999999844e+01, 2.550819716944707771e+00, 2.398999999999999844e+01
