# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -3.762746851915405699e+01, -3.997589791880781007e+00, -3.766554250846447616e+01
-9.797979797979797567e+00, -3.686368281364816113e+01, -3.916833522361976350e+00, -3.691090795930079338e+01
-9.595959595959595134e+00, -3.610979175147728881e+01, -3.836077252843171248e+00, -3.614595198380629881e+01
-9.393939393939394478e+00, -3.534612065174081863e+01, -3.755320983324366590e+00, -3.539329651936577648e+01
-9.191919191919192045e+00, -3.459111906295414229e+01, -3.674564713805561489e+00, -3.462900934701823275e+01
-8.989898989898989612e+00, -3.382796438571804032e+01, -3.593808444286756831e+00, -3.387501095802987550e+01
-8.787878787878787179e+00, -3.307463106940646469e+01, -3.513052174767951730e+00, -3.310107737967332753e+01
-8.585858585858586522e+00, -3.231090921100952329e+01, -3.432295905249147072e+00, -3.234858349696587254e+01
-8.383838383838384090e+00, -3.154726231288843152e+01, -3.351539635730341971e+00, -3.158328045754505808e+01
-8.181818181818181657e+00, -3.079292306460860473e+01, -3.270783366211537313e+00, -3.081936154886795265e+01
-7.979797979797979224e+00, -3.002908468077021809e+01, -3.190027096692732655e+00, -3.005597669295844554e+01
-7.777777777777777679e+00, -2.926524629693183854e+01, -3.109270827173927554e+00, -2.930102849249783503e+01
-7.575757575757576134e+00, -2.850222193021600958e+01, -3.028514557655122896e+00, -2.853939979026831253e+01
-7.373737373737373701e+00, -2.774756952925506681e+01, -2.947758288136317795e+00, -2.778402615664759878e+01
-7.171717171717171269e+00, -2.698471571065551089e+01, -2.867002018617513137e+00, -2.701004044909127444e+01
-6.969696969696969724e+00, -2.622989276157830218e+01, -2.786245749098708480e+00, -2.625676765771779131e+01
-6.767676767676768179e+00, -2.546605437773991909e+01, -2.705489479579903378e+00, -2.550068897541741464e+01
-6.565656565656565746e+00, -2.470347247326167306e+01, -2.624733210061098276e+00, -2.473948331452491800e+01
-6.363636363636363313e+00, -2.394837761006314736e+01, -2.543976940542293619e+00, -2.397538419062999893e+01
-6.161616161616161769e+00, -2.318598699782231876e+01, -2.463220671023488961e+00, -2.321160619745894493e+01
-5.959595959595959336e+00, -2.243070084238638273e+01, -2.382464401504683860e+00, -2.245458462964296587e+01
-5.757575757575757791e+00, -2.166686245854799964e+01, -2.301708131985879202e+00, -2.169353476407580672e+01
