# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -1.779528957282468626e+00, -3.997581377199319164e+00, -1.781607104038667400e+00
-9.797979797979797567e+00, -1.742357188080554176e+00, -3.916827020099526990e+00, -1.745436393012178122e+00
-9.595959595959595134e+00, -1.709167593781862005e+00, -3.836072662999734817e+00, -1.708167234936664558e+00
-9.393939393939394478e+00, -1.671018873641179958e+00, -3.755318305899942644e+00, -1.672080888929497577e+00
-9.191919191919192045e+00, -1.634792285489646169e+00, -3.674563948800150470e+00, -1.637803055651740003e+00
-8.989898989898989612e+00, -1.598628545010597701e+00, -3.593809591700357853e+00, -1.602743030300506799e+00
-8.787878787878787179e+00, -1.563475935835323849e+00, -3.513055234600565679e+00, -1.563574676598460167e+00
-8.585858585858586522e+00, -1.527226524371220195e+00, -3.432300877500773506e+00, -1.528287802162690223e+00
-8.383838383838384090e+00, -1.491124972737498666e+00, -3.351546520400981333e+00, -1.494106572355759832e+00
-8.181818181818181657e+00, -1.455892593646104904e+00, -3.270792163301189159e+00, -1.456834905752681708e+00
-7.979797979797979224e+00, -1.419780797310113529e+00, -3.190037806201396986e+00, -1.422831589578334777e+00
-7.777777777777777679e+00, -1.383486247906426048e+00, -3.109283449101604369e+00, -1.384665497797522571e+00
-7.575757575757576134e+00, -1.347340498908886408e+00, -3.028529092001812195e+00, -1.350292882618670198e+00
-7.373737373737373701e+00, -1.312310780777654617e+00, -2.947774734902020022e+00, -1.315259630954362491e+00
-7.171717171717171269e+00, -1.275923958093447164e+00, -2.867020377802227848e+00, -1.277874118993218566e+00
-6.969696969696969724e+00, -1.240721768922155466e+00, -2.786266020702435675e+00, -1.242899386125555505e+00
-6.767676767676768179e+00, -1.206609969737422405e+00, -2.705511663602643502e+00, -1.204700660173168458e+00
-6.565656565656565746e+00, -1.167354876615275039e+00, -2.624757306502851328e+00, -1.169575980012352634e+00
-6.363636363636363313e+00, -1.133272630138538073e+00, -2.544002949403059155e+00, -1.134185146925972498e+00
-6.161616161616161769e+00, -1.095327199002656959e+00, -2.463248592303266982e+00, -1.098129174465427793e+00
-5.959595959595959336e+00, -1.059988938191315455e+00, -2.382494235203474808e+00, -1.060993410709677454e+00
-5.757575757575757791e+00, -1.024876159330497138e+00, -2.301739878103682635e+00, -1.025916100155790378e+00
-5.555555555555555358e+00, -9.893560436280736115e-01, -2.220985521003890018e+00, -9.903390457054790375e-01
-5.353535353535353813e+00, -9.521176440249359274e-01, -2.140231163904097844e+00, -9.535412734639219234e-01
-5.151515151515151381e+00, -9.171024878569176142e-01, -2.059476806804305671e+00, -9.182008269396455535e-01
-4.949494949494949836e+00, -8.808295925620178712e-01, -1.978722449704513497e+00, -8.809262615345248015e-01
-4.747474747474747403e+00, -8.446069597348956348e-01, -1.897968092604721324e+00, -8.467664129563623465e-01
-4.545454545454545858e+00, -8.095542861639961618e-01, -1.817213735504929151e+00, -8.096707510598759594e-01
-4.343434343434343425e+00, -7.729454691242098052e-01, -1.736459378405136533e+00, -7.734393890790685067e-01
-4.141414141414141881e+00, -7.374681470465404010e-01, -1.655705021305344360e+00, -7.372676880251003428e-01
-3.939393939393939448e+00, -7.007038250294210791e-01, -1.574950664205552187e+00, -7.010630847910810370e-01
-3.737373737373737903e+00, -6.649339337160954377e-01, -1.494196307105760013e+00, -6.660192431212965669e-01
-3.535353535353535470e+00, -6.297869129376696407e-01, -1.413441950005967840e+00, -6.297258275911468139e-01
-3.333333333333333037e+00, -5.931935107247999772e-01, -1.332687592906175666e+00, -5.949449107841184858e-01
-3.131313131313131493e+00, -5.570782344754898752e-01, -1.251933235806383493e+00, -5.582869139849369056e-01
-2.929292929292929060e+00, -5.207871306760524233e-01, -1.171178878706591320e+00, -5.221818627759196030e-01
-2.727272727272727515e+00, -4.865405112857583148e-01, -1.090424521606799146e+00, -4.863639025285387274e-01
-2.525252525252525082e+00, -4.498770693887074734e-01, -1.009670164507006529e+00, -4.504267200394030946e-01
-2.323232323232323537e+00, -4.136198663733778869e-01, -9.289158074072143556e-01, -4.143367314220960940e-01
-2.121212121212121104e+00, -3.770191343282012775e-01, -8.481614503074221822e-01, -3.785655005593523970e-01
-1.919191919191918672e+00, -3.413300311193552816e-01, -7.674070932076300089e-01, -3.422531507029518139e-01
-1.717171717171718015e+00, -3.058634820011381650e-01, -6.866527361078378355e-01, -3.061180173843577323e-01
-1.515151515151515582e+00, -2.708393003828946655e-01, -6.058983790080456622e-01, -2.703734774004831198e-01
-1.313131313131313149e+00, -2.350127297538956717e-01, -5.251440219082534888e-01, -2.336002964031045903e-01
-1.111111111111110716e+00, -1.972829285055757997e-01, -4.443896648084608714e-01, -1.982235236967602177e-01
-9.090909090909100598e-01, -1.630353434582766936e-01, -3.636353077086686980e-01, -1.618235318986286086e-01
-7.070707070707076269e-01, -1.251005358733312811e-01, -2.828809506088765247e-01, -1.261875596525058596e-01
-5.050505050505051940e-01, -8.997207947660565419e-02, -2.021265935090843513e-01, -9.054700361036183143e-02
-3.030303030303027612e-01, -5.427938472802938674e-02, -1.213722364092921779e-01, -5.379584603845852242e-02
-1.010101010101003283e-01, -1.811243115094751666e-02, -4.061787930950000458e-02, -1.820011252553376674e-02
1.010101010101003283e-01, 1.811243115094751666e-02, 4.013647779029216878e-02, 1.798440550270338778e-02
3.030303030303027612e-01, 5.368117396072020348e-02, 1.208908348900843421e-01, 5.414127793191371441e-02
5.050505050505051940e-01, 9.044852490323024297e-02, 2.016451919898765155e-01, 8.987346311097363372e-02
7.070707070707076269e-01, 1.261074063538949186e-01, 2.823995490896686889e-01, 1.249806892630828115e-01
9.090909090909082835e-01, 1.617328222603023336e-01, 3.631539061894608622e-01, 1.629164611884565683e-01
1.111111111111110716e+00, 1.981150406249034823e-01, 4.439082632892530356e-01, 1.971729586986816218e-01
1.313131313131313149e+00, 2.335303698633597325e-01, 5.246626203890460971e-01, 2.349356434243237424e-01
1.515151515151515582e+00, 2.702884818780374454e-01, 6.054169774888382705e-01, 2.706824499134246054e-01
1.717171717171716239e+00, 3.060164972629855762e-01, 6.861713345886304438e-01, 3.057600779722913775e-01
1.919191919191918672e+00, 3.421983154448038356e-01, 7.669256916884226172e-01, 3.412040105727972561e-01
2.121212121212121104e+00, 3.784545495688065864e-01, 8.476800487882147905e-01, 3.768609466638976890e-01
2.323232323232323537e+00, 4.142361119270108749e-01, 9.284344058880069639e-01, 4.134988561400192442e-01
