# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -3.368468750063456127e+02, -3.997791218318343720e+00, -3.374933970435484412e+02
-9.797979797979797567e+00, -3.345352905135870287e+02, -3.917032032351586590e+00, -3.351810386460250015e+02
-9.595959595959595134e+00, -3.323246719086630492e+02, -3.836272846384829460e+00, -3.328673924343938211e+02
-9.393939393939394478e+00, -3.300122214882928802e+02, -3.755513660418072330e+00, -3.305605736642242505e+02
-9.191919191919192045e+00, -3.276984653511775036e+02, -3.674754474451315200e+00, -3.281437347587838644e+02
-8.989898989898989612e+00, -3.251840833926265759e+02, -3.593995288484558071e+00, -3.256308331780355161e+02
-8.787878787878787179e+00, -3.227706887915808807e+02, -3.513236102517800941e+00, -3.231163780302472901e+02
-8.585858585858586522e+00, -3.202581310171216842e+02, -3.432476916551043811e+00, -3.206023040032239351e+02
-8.383838383838384090e+00, -3.176369726940648661e+02, -3.351717730584286681e+00, -3.179855093993962214e+02
-8.181818181818181657e+00, -3.149290549323271762e+02, -3.270958544617529551e+00, -3.152690433872187441e+02
-7.979797979797979224e+00, -3.122059036719140863e+02, -3.190199358650772421e+00, -3.125474261247969707e+02
-7.777777777777777679e+00, -3.092870812406769687e+02, -3.109440172684015291e+00, -3.096296473747583491e+02
-7.575757575757576134e+00, -3.064629204933552842e+02, -3.028680986717258161e+00, -3.067102680073114129e+02
-7.373737373737373701e+00, -3.032367739962445512e+02, -2.947921800750501031e+00, -3.035740620355762758e+02
-7.171717171717171269e+00, -3.000126751953345092e+02, -2.867162614783743901e+00, -3.003532942356433182e+02
-6.969696969696969724e+00, -2.964759930682170079e+02, -2.786403428816986771e+00, -2.968066091373231075e+02
-6.767676767676768179e+00, -2.925954849437395637e+02, -2.705644242850229642e+00, -2.927524947278488412e+02
-6.565656565656565746e+00, -2.877199304808397073e+02, -2.624885056883472512e+00, -2.880470614386715056e+02
-6.363636363636363313e+00, -2.824335377132982785e+02, -2.544125870916715382e+00, -2.825657617730059883e+02
-6.161616161616161769e+00, -2.764582943442312626e+02, -2.463366684949958252e+00, -2.766986938193064702e+02
-5.959595959595959336e+00, -2.702085478059669299e+02, -2.382607498983201122e+00, -2.703144903191906678e+02
-5.757575757575757791e+00, -2.636180055305145515e+02, -2.301848313016443992e+00, -2.636525509666729477e+02
-5.555555555555555358e+00, -2.565709906190892866e+02, -2.221089127049686862e+00, -2.566801661919585626e+02
-5.353535353535353813e+00, -2.494145428494955752e+02, -2.140329941082929732e+00, -2.494348007230606470e+02
-5.151515151515151381e+00, -2.419062123965620401e+02, -2.059570755116172602e+00, -2.418604020585962644e+02
-4.949494949494949836e+00, -2.341715257830155110e+02, -1.978811569149415472e+00, -2.341860642325597723e+02
-4.747474747474747403e+00, -2.261798475224974823e+02, -1.898052383182658343e+00, -2.261325079087163772e+02
-4.545454545454545858e+00, -2.178268481348799526e+02, -1.817293197215901213e+00, -2.177332791253126345e+02
-4.343434343434343425e+00, -2.093126237576378799e+02, -1.736534011249144083e+00, -2.091456329130280665e+02
-4.141414141414141881e+00, -2.003316934528720878e+02, -1.655774825282386953e+00, -2.002363859083483533e+02
-3.939393939393939448e+00, -1.911822203772282194e+02, -1.575015639315629823e+00, -1.910960536565991106e+02
-3.737373737373737903e+00, -1.818751578346284816e+02, -1.494256453348872693e+00, -1.817016299241714989e+02
-3.535353535353535470e+00, -1.724311812774294026e+02, -1.413497267382115563e+00, -1.723074068728296879e+02
-3.333333333333333037e+00, -1.628765436223300185e+02, -1.332738081415358433e+00, -1.626872190029495471e+02
-3.131313131313131493e+00, -1.533329918255905113e+02, -1.251978895448601303e+00, -1.530998953485640754e+02
-2.929292929292929060e+00, -1.436425940547082405e+02, -1.171219709481844173e+00, -1.433472277032564364e+02
-2.727272727272727515e+00, -1.339682448778475816e+02, -1.090460523515087043e+00, -1.336347865907152084e+02
-2.525252525252525082e+00, -1.241842193103347256e+02, -1.009701337548329914e+00, -1.238770428340328635e+02
-2.323232323232323537e+00, -1.143285149237664911e+02, -9.289421515815727837e-01, -1.140956908878208083e+02
-2.121212121212121104e+00, -1.045948037883984654e+02, -8.481829656148156538e-01, -1.042532891290670847e+02
-1.919191919191918672e+00, -9.467189237030491711e+01, -7.674237796480585239e-01, -9.439983203745541118e+01
-1.717171717171718015e+00, -8.471551994689673393e+01, -6.866645936813013940e-01, -8.454980123121308111e+01
-1.515151515151515582e+00, -7.476625535855013993e+01, -6.059054077145442641e-01, -7.469645228183854613e+01
-1.313131313131313149e+00, -6.481699536110333781e+01, -5.251462217477871341e-01, -6.480622867721923797e+01
-1.111111111111110716e+00, -5.486773934243630890e+01, -4.443870357810300042e-01, -5.490139714891148515e+01
-9.090909090909100598e-01, -4.491848669042921216e+01, -3.636278498142728743e-01, -4.490235964205548669e+01
-7.070707070707076269e-01, -3.496923679296188681e+01, -2.828686638475157444e-01, -3.499522683350706131e+01
-5.050505050505051940e-01, -2.492020145401950515e+01, -2.021094778807586145e-01, -2.507103524329999189e+01
-3.030303030303027612e-01, -1.497711130932590962e+01, -1.213502919140014846e-01, -1.506123937814033553e+01
-1.010101010101003283e-01, -4.965878806913141652e+00, -4.059110594724435472e-02, -4.981021112756769398e+00
1.010101010101003283e-01, 4.965878806913141652e+00, 4.016808001951277518e-02, 4.929110699672365925e+00
3.030303030303027612e-01, 1.503086255985385833e+01, 1.209272659862699051e-01, 1.494818435000075674e+01
5.050505050505051940e-01, 2.503929483475845785e+01, 2.016864519530270350e-01, 2.488817847375558401e+01
7.070707070707076269e-01, 3.497635731688670546e+01, 2.824456379197841649e-01, 3.494451496927419498e+01
9.090909090909082835e-01, 4.487470594213232999e+01, 3.632048238865412948e-01, 4.488338222566534341e+01
1.111111111111110716e+00, 5.488077876040275527e+01, 4.439640098532984247e-01, 5.483236845063343878e+01
1.313131313131313149e+00, 6.478303722699789091e+01, 5.247231958200555546e-01, 6.478798172482227358e+01
1.515151515151515582e+00, 7.467433711486648917e+01, 6.054823817868126845e-01, 7.472367510237729959e+01
1.717171717171716239e+00, 8.452383206436138607e+01, 6.862415677535698144e-01, 8.468112883398895008e+01
1.919191919191918672e+00, 9.437332701385633982e+01, 7.670007537203269443e-01, 9.464156895964076455e+01
2.121212121212121104e+00, 1.042228219633513220e+02, 8.477599396870840742e-01, 1.045553429183179333e+02
2.323232323232323537e+00, 1.140723169128462899e+02, 9.285191256538412041e-01, 1.143045156538860851e+02
2.525252525252524194e+00, 1.238562607918522502e+02, 1.009278311620598334e+00, 1.241481033368975488e+02
2.727272727272726627e+00, 1.336118344362097048e+02, 1.090037497587355464e+00, 1.339416363982208793e+02
2.929292929292929060e+00, 1.433241836926080452e+02, 1.170796683554112594e+00, 1.436122362620231740e+02
3.131313131313131493e+00, 1.530814979373290043e+02, 1.251555869520869724e+00, 1.532955057582268239e+02
3.333333333333333925e+00, 1.626568676837128749e+02, 1.332315055487626854e+00, 1.628409707891057394e+02
