# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -1.773999999999999844e+01, 3.997236713610941461e+00, 1.773999999999999844e+01
-9.899497487437185939e+00, -1.757000000000000028e+01, 3.957054696783907310e+00, 1.757000000000000028e+01
-9.798994974874371877e+00, -1.739999999999999858e+01, 3.916945785904078381e+00, 1.739999999999999858e+01
-9.698492462311557816e+00, -1.721999999999999886e+01, 3.876691726190145015e+00, 1.721999999999999886e+01
-9.597989949748743754e+00, -1.705000000000000071e+01, 3.836401907938269407e+00, 1.705000000000000071e+01
-9.497487437185929693e+00, -1.687999999999999901e+01, 3.796275652848446480e+00, 1.687999999999999901e+01
-9.396984924623115631e+00, -1.669999999999999929e+01, 3.756217770244821175e+00, 1.669999999999999929e+01
-9.296482412060301570e+00, -1.653000000000000114e+01, 3.715961621265837067e+00, 1.653000000000000114e+01
-9.195979899497487509e+00, -1.635999999999999943e+01, 3.675833798968769717e+00, 1.635999999999999943e+01
-9.095477386934673447e+00, -1.617999999999999972e+01, 3.635508236161694384e+00, 1.617999999999999972e+01
-8.994974874371859386e+00, -1.601000000000000156e+01, 3.595448263654568599e+00, 1.601000000000000156e+01
-8.894472361809045324e+00, -1.583999999999999986e+01, 3.555278904217816560e+00, 1.583999999999999986e+01
-8.793969849246231263e+00, -1.566000000000000014e+01, 3.515069052638706726e+00, 1.566000000000000014e+01
-8.693467336683417201e+00, -1.548000000000000043e+01, 3.474921788125879374e+00, 1.548000000000000043e+01
-8.592964824120603140e+00, -1.531000000000000050e+01, 3.434712468884300485e+00, 1.531000000000000050e+01
-8.492462311557789079e+00, -1.514000000000000057e+01, 3.394536285394639918e+00, 1.514000000000000057e+01
-8.391959798994975017e+00, -1.496000000000000085e+01, 3.354475806162442453e+00, 1.496000000000000085e+01
-8.291457286432160956e+00, -1.477999999999999936e+01, 3.314175513005112705e+00, 1.477999999999999936e+01
-8.190954773869346894e+00, -1.460999999999999943e+01, 3.274066655673459891e+00, 1.460999999999999943e+01
-8.090452261306532833e+00, -1.443999999999999950e+01, 3.233907313506388714e+00, 1.443999999999999950e+01
-7.989949748743718771e+00, -1.425999999999999979e+01, 3.193734826378749059e+00, 1.425999999999999979e+01
-7.889447236180904710e+00, -1.408000000000000007e+01, 3.153566023500313786e+00, 1.408000000000000007e+01
-7.788944723618090649e+00, -1.391000000000000014e+01, 3.113312025327149346e+00, 1.391000000000000014e+01
-7.688442211055276587e+00, -1.373000000000000043e+01, 3.073073281429255843e+00, 1.373000000000000043e+01
-7.587939698492462526e+00, -1.355000000000000071e+01, 3.033031232121030207e+00, 1.355000000000000071e+01
-7.487437185929648464e+00, -1.338000000000000078e+01, 2.992830885319494705e+00, 1.338000000000000078e+01
-7.386934673366834403e+00, -1.319999999999999929e+01, 2.952628963390275807e+00, 1.319999999999999929e+01
-7.286432160804020342e+00, -1.301999999999999957e+01, 2.912343949615538108e+00, 1.301999999999999957e+01
-7.185929648241206280e+00, -1.284999999999999964e+01, 2.872189890948182001e+00, 1.284999999999999964e+01
-7.085427135678392219e+00, -1.266999999999999993e+01, 2.832128921512644837e+00, 1.266999999999999993e+01
-6.984924623115578157e+00, -1.250000000000000000e+01, 2.792019570404042916e+00, 1.250000000000000000e+01
-6.884422110552764096e+00, -1.232000000000000028e+01, 2.751881296396799570e+00, 1.232000000000000028e+01
-6.783919597989950034e+00, -1.215000000000000036e+01, 2.711561058519549761e+00, 1.215000000000000036e+01
-6.683417085427135973e+00, -1.197000000000000064e+01, 2.671327072800962821e+00, 1.197000000000000064e+01
-6.582914572864321912e+00, -1.180000000000000071e+01, 2.631076260076447237e+00, 1.180000000000000071e+01
-6.482412060301507850e+00, -1.161999999999999922e+01, 2.591084725023605095e+00, 1.161999999999999922e+01
-6.381909547738693789e+00, -1.143999999999999950e+01, 2.551007468146466284e+00, 1.143999999999999950e+01
-6.281407035175879727e+00, -1.125999999999999979e+01, 2.510720373777034720e+00, 1.125999999999999979e+01
-6.180904522613065666e+00, -1.108999999999999986e+01, 2.470562130307471627e+00, 1.108999999999999986e+01
-6.080402010050251604e+00, -1.091000000000000014e+01, 2.430295024700283690e+00, 1.091000000000000014e+01
-5.979899497487436655e+00, -1.074000000000000021e+01, 2.390174125032015429e+00, 1.074000000000000021e+01
-5.879396984924622593e+00, -1.056000000000000050e+01, 2.350031138881596426e+00, 1.056000000000000050e+01
-5.778894472361808532e+00, -1.038000000000000078e+01, 2.309843451920579493e+00, 1.038000000000000078e+01
-5.678391959798994471e+00, -1.021000000000000085e+01, 2.269678906955773900e+00, 1.021000000000000085e+01
-5.577889447236180409e+00, -1.002999999999999936e+01, 2.229548548120520834e+00, 1.002999999999999936e+01
-5.477386934673366348e+00, -9.859999999999999432e+00, 2.189273038855842124e+00, 9.859999999999999432e+00
-5.376884422110552286e+00, -9.679999999999999716e+00, 2.149058537219386888e+00, 9.679999999999999716e+00
-5.276381909547738225e+00, -9.500000000000000000e+00, 2.108937649790772362e+00, 9.500000000000000000e+00
-5.175879396984924163e+00, -9.320000000000000284e+00, 2.068796779206623082e+00, 9.320000000000000284e+00
-5.075376884422110102e+00, -9.150000000000000355e+00, 2.028668532054112905e+00, 9.150000000000000355e+00
-4.974874371859296041e+00, -8.970000000000000639e+00, 1.988482435887328981e+00, 8.970000000000000639e+00
-4.874371859296481979e+00, -8.789999999999999147e+00, 1.948186425238931596e+00, 8.789999999999999147e+00
-4.773869346733667918e+00, -8.619999999999999218e+00, 1.907990865421614224e+00, 8.619999999999999218e+00
-4.673366834170853856e+00, -8.439999999999999503e+00, 1.867791099619428685e+00, 8.439999999999999503e+00
-4.572864321608039795e+00, -8.269999999999999574e+00, 1.827697569586382187e+00, 8.269999999999999574e+00
-4.472361809045225733e+00, -8.089999999999999858e+00, 1.787578271020584086e+00, 8.089999999999999858e+00
-4.371859296482411672e+00, -7.910000000000000142e+00, 1.747422685610567017e+00, 7.910000000000000142e+00
-4.271356783919597611e+00, -7.730000000000000426e+00, 1.707246064797284024e+00, 7.730000000000000426e+00
-4.170854271356783549e+00, -7.549999999999999822e+00, 1.667030001569841380e+00, 7.549999999999999822e+00
-4.070351758793969488e+00, -7.379999999999999893e+00, 1.626789221454919998e+00, 7.379999999999999893e+00
-3.969849246231155426e+00, -7.200000000000000178e+00, 1.586670454204612613e+00, 7.200000000000000178e+00
-3.869346733668341365e+00, -7.030000000000000249e+00, 1.546470171337354094e+00, 7.030000000000000249e+00
-3.768844221105527303e+00, -6.849999999999999645e+00, 1.506337206255514483e+00, 6.849999999999999645e+00
-3.668341708542713242e+00, -6.669999999999999929e+00, 1.466105896242372530e+00, 6.669999999999999929e+00
-3.567839195979899181e+00, -6.490000000000000213e+00, 1.425855128237629721e+00, 6.490000000000000213e+00
-3.467336683417085119e+00, -6.309999999999999609e+00, 1.385725846932429839e+00, 6.309999999999999609e+00
-3.366834170854271058e+00, -6.139999999999999680e+00, 1.345597092238204118e+00, 6.139999999999999680e+00
-3.266331658291456996e+00, -5.959999999999999964e+00, 1.305508307596163320e+00, 5.959999999999999964e+00
-3.165829145728642935e+00, -5.780000000000000249e+00, 1.265297511698377564e+00, 5.780000000000000249e+00
-3.065326633165828873e+00, -5.610000000000000320e+00, 1.225002570250489198e+00, 5.610000000000000320e+00
-2.964824120603014812e+00, -5.429999999999999716e+00, 1.184853833173351356e+00, 5.429999999999999716e+00
-2.864321608040200751e+00, -5.250000000000000000e+00, 1.144811856927148597e+00, 5.250000000000000000e+00
-2.763819095477386689e+00, -5.080000000000000071e+00, 1.104610529405638086e+00, 5.080000000000000071e+00
-2.663316582914572628e+00, -4.900000000000000355e+00, 1.064383958418447351e+00, 4.900000000000000355e+00
-2.562814070351758566e+00, -4.719999999999999751e+00, 1.024243637504927085e+00, 4.719999999999999751e+00
-2.462311557788944505e+00, -4.549999999999999822e+00, 9.838861147328726853e-01, 4.549999999999999822e+00
-2.361809045226130443e+00, -4.360000000000000320e+00, 9.438304663259355909e-01, 4.360000000000000320e+00
-2.261306532663316382e+00, -4.190000000000000391e+00, 9.036212514556929420e-01, 4.190000000000000391e+00
-2.160804020100502321e+00, -4.009999999999999787e+00, 8.635082788153690680e-01, 4.009999999999999787e+00
-2.060301507537688259e+00, -3.839999999999999858e+00, 8.233222043272176993e-01, 3.839999999999999858e+00
-1.959798994974873310e+00, -3.660000000000000142e+00, 7.831245597804850078e-01, 3.660000000000000142e+00
