# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -1.754717904251965166e+01, -3.997707597421268133e+00, -1.775439500378826452e+01
-9.797979797979797567e+00, -1.720541124517058762e+01, -3.916950584178518824e+00, -1.740234697823501619e+01
-9.595959595959595134e+00, -1.685374664134375422e+01, -3.836193570935769070e+00, -1.704041110527565550e+01
-9.393939393939394478e+00, -1.650188912643634964e+01, -3.755436557693019761e+00, -1.668877181594087489e+01
-9.191919191919192045e+00, -1.616008959895637886e+01, -3.674679544450269564e+00, -1.632676929368729191e+01
-8.989898989898989612e+00, -1.580860494761253321e+01, -3.593922531207520255e+00, -1.596453373103584994e+01
-8.787878787878787179e+00, -1.545625220627050211e+01, -3.513165517964770945e+00, -1.560374494773710730e+01
-8.585858585858586522e+00, -1.510518140673934440e+01, -3.432408504722021192e+00, -1.524192123630109386e+01
-8.383838383838384090e+00, -1.475260271913892396e+01, -3.351651491479271883e+00, -1.488950287813337603e+01
-8.181818181818181657e+00, -1.440176098949829253e+01, -3.270894478236522573e+00, -1.453823243528161768e+01
-7.979797979797979224e+00, -1.404895005183887058e+01, -3.190137464993772376e+00, -1.417546737910213572e+01
-7.777777777777777679e+00, -1.369763054163781923e+01, -3.109380451751023067e+00, -1.381371300113238121e+01
-7.575757575757576134e+00, -1.333618102614973644e+01, -3.028623438508272869e+00, -1.346147615625208616e+01
-7.373737373737373701e+00, -1.298346564460239705e+01, -2.947866425265523560e+00, -1.310087867627459879e+01
-7.171717171717171269e+00, -1.263217231778840954e+01, -2.867109412022774251e+00, -1.273940061158209502e+01
-6.969696969696969724e+00, -1.228036712165814492e+01, -2.786352398780024497e+00, -1.238679521686742468e+01
-6.767676767676768179e+00, -1.192855973121163693e+01, -2.705595385537275188e+00, -1.202455003270933354e+01
-6.565656565656565746e+00, -1.157687581610623440e+01, -2.624838372294524991e+00, -1.166406702610321311e+01
-6.363636363636363313e+00, -1.121431266922352599e+01, -2.544081359051775681e+00, -1.131004417447615396e+01
-6.161616161616161769e+00, -1.086312503000834084e+01, -2.463324345809025928e+00, -1.094962850187691394e+01
-5.959595959595959336e+00, -1.051147698720327384e+01, -2.382567332566276175e+00, -1.058719054434087781e+01
-5.757575757575757791e+00, -1.015065106299993936e+01, -2.301810319323526866e+00, -1.022778625495580407e+01
-5.555555555555555358e+00, -9.798934872423631148e+00, -2.221053306080777556e+00, -9.873321794753049829e+00
-5.353535353535353813e+00, -9.445360860701471850e+00, -2.140296292838027803e+00, -9.511550567024189107e+00
-5.151515151515151381e+00, -9.085507386963701748e+00, -2.059539279595278050e+00, -9.161229129268258831e+00
-4.949494949494949836e+00, -8.731479359078925029e+00, -1.978782266352528296e+00, -8.789732585743067261e+00
-4.747474747474747403e+00, -8.380379132094398997e+00, -1.898025253109778987e+00, -8.436538836330560898e+00
-4.545454545454545858e+00, -8.028830003129293402e+00, -1.817268239867029456e+00, -8.083351147364375322e+00
-4.343434343434343425e+00, -7.666269951610562572e+00, -1.736511226624279702e+00, -7.715437463247174499e+00
-4.141414141414141881e+00, -7.306964428261574440e+00, -1.655754213381530171e+00, -7.360901274619895851e+00
-3.939393939393939448e+00, -6.955259771096249821e+00, -1.574997200138780862e+00, -6.999429428095717221e+00
-3.737373737373737903e+00, -6.600815406156017140e+00, -1.494240186896031108e+00, -6.640447314950280955e+00
-3.535353535353535470e+00, -6.238633582673918099e+00, -1.413483173653281355e+00, -6.285205260874139555e+00
-3.333333333333333037e+00, -5.887940947281556703e+00, -1.332726160410531824e+00, -5.924056439866434154e+00
-3.131313131313131493e+00, -5.528452255356992140e+00, -1.251969147167782070e+00, -5.561817225176859836e+00
-2.929292929292929060e+00, -5.173127136869950071e+00, -1.171212133925032761e+00, -5.210755359850494983e+00
-2.727272727272727515e+00, -4.822481822384416361e+00, -1.090455120682283008e+00, -4.848648936838086954e+00
-2.525252525252525082e+00, -4.463757884548005705e+00, -1.009698107439533477e+00, -4.490430859340307279e+00
-2.323232323232323537e+00, -4.100991146846126867e+00, -9.289410941967837232e-01, -4.123690329063260940e+00
-2.121212121212121104e+00, -3.749963359518845074e+00, -8.481840809540344139e-01, -3.773699658442075666e+00
-1.919191919191918672e+00, -3.393951423286524438e+00, -7.674270677112844385e-01, -3.410778403746702381e+00
-1.717171717171718015e+00, -3.043853457337321267e+00, -6.866700544685351293e-01, -3.060029889981082718e+00
-1.515151515151515582e+00, -2.674232936216339951e+00, -6.059130412257858200e-01, -2.697659430174593087e+00
-1.313131313131313149e+00, -2.318448412064505693e+00, -5.251560279830357336e-01, -2.335485245512490149e+00
-1.111111111111110716e+00, -1.967884509891787870e+00, -4.443990147402864799e-01, -1.978859491411796956e+00
-9.090909090909100598e-01, -1.605360860701474213e+00, -3.636420014975364490e-01, -1.616144946079274280e+00
-7.070707070707076269e-01, -1.248103714193026015e+00, -2.828849882547871397e-01, -1.260271440898762751e+00
-5.050505050505051940e-01, -8.911156644121991377e-01, -2.021279750120378305e-01, -8.979218972618284722e-01
-3.030303030303027612e-01, -5.405680447020443369e-01, -1.213709617692877996e-01, -5.484501381307055334e-01
-1.010101010101003283e-01, -1.780881334287438278e-01, -4.061394852653848336e-02, -1.790705517206595543e-01
1.010101010101003283e-01, 1.780881334287438555e-01, 4.014306471621154060e-02, 1.769943826513941110e-01
3.030303030303027612e-01, 5.467990987642719070e-01, 1.209000779589608499e-01, 5.392878861442561567e-01
5.050505050505051940e-01, 8.967575793728909117e-01, 2.016570912017101591e-01, 8.899967434936152388e-01
