# Voltage (V), Field (mT), Current (A), Field (mT)
-9.797979797979797567e+00, -7.778000000000000682e+02, 3.919088353214642328e+00, 7.778000000000000682e+02
-9.595959595959595134e+00, -7.708000000000000682e+02, 3.838291754657785937e+00, 7.708000000000000682e+02
-9.393939393939394478e+00, -7.635999999999999091e+02, 3.757415829177074507e+00, 7.635999999999999091e+02
-9.191919191919192045e+00, -7.563999999999999773e+02, 3.676637192587010716e+00, 7.563999999999999773e+02
-8.989898989898989612e+00, -7.491999999999999318e+02, 3.595646239863834470e+00, 7.491999999999999318e+02
-8.787878787878787179e+00, -7.417000000000000455e+02, 3.514905811785602463e+00, 7.417000000000000455e+02
-8.585858585858586522e+00, -7.341999999999999318e+02, 3.434047084775765146e+00, 7.341999999999999318e+02
-8.383838383838384090e+00, -7.264000000000000909e+02, 3.353429005003155883e+00, 7.264000000000000909e+02
-8.181818181818181657e+00, -7.184000000000000909e+02, 3.272397565667092501e+00, 7.184000000000000909e+02
-7.979797979797980112e+00, -7.103000000000000682e+02, 3.191572482611100714e+00, 7.103000000000000682e+02
-7.777777777777777679e+00, -7.018999999999999773e+02, 3.110916870025651093e+00, 7.018999999999999773e+02
-7.575757575757576134e+00, -6.933999999999999773e+02, 3.030071258055852645e+00, 6.933999999999999773e+02
-7.373737373737373701e+00, -6.838999999999999773e+02, 2.949338488816898973e+00, 6.838999999999999773e+02
-7.171717171717172157e+00, -6.745000000000000000e+02, 2.868431298427717380e+00, 6.745000000000000000e+02
-6.969696969696969724e+00, -6.649000000000000909e+02, 2.787684734380084794e+00, 6.649000000000000909e+02
-6.767676767676767291e+00, -6.548000000000000682e+02, 2.706702966992521109e+00, 6.548000000000000682e+02
-6.565656565656565746e+00, -6.445000000000000000e+02, 2.626024150294533843e+00, 6.445000000000000000e+02
-6.363636363636363313e+00, -6.340000000000000000e+02, 2.545189601036419447e+00, 6.340000000000000000e+02
-6.161616161616161769e+00, -6.228999999999999773e+02, 2.464397228836721965e+00, 6.228999999999999773e+02
-5.959595959595959336e+00, -6.118999999999999773e+02, 2.383677158717026234e+00, 6.118999999999999773e+02
-5.757575757575757791e+00, -6.007000000000000455e+02, 2.302797711097113620e+00, 6.007000000000000455e+02
-5.555555555555555358e+00, -5.890999999999999091e+02, 2.222026920982706155e+00, 5.890999999999999091e+02
-5.353535353535353813e+00, -5.750999999999999091e+02, 2.141102461511781740e+00, 5.750999999999999091e+02
-5.151515151515151381e+00, -5.623999999999999773e+02, 2.060363012485369794e+00, 5.623999999999999773e+02
-4.949494949494949836e+00, -5.480000000000000000e+02, 1.979466251894529627e+00, 5.480000000000000000e+02
-4.747474747474747403e+00, -5.352999999999999545e+02, 1.898762806219264299e+00, 5.352999999999999545e+02
-4.545454545454545858e+00, -5.198999999999999773e+02, 1.817926976522668214e+00, 5.198999999999999773e+02
-4.343434343434343425e+00, -5.063999999999999773e+02, 1.737005510487118265e+00, 5.063999999999999773e+02
-4.141414141414140992e+00, -4.910000000000000000e+02, 1.656169303977137908e+00, 4.910000000000000000e+02
-3.939393939393939448e+00, -4.731000000000000227e+02, 1.575454195591662776e+00, 4.731000000000000227e+02
-3.737373737373737459e+00, -4.536000000000000227e+02, 1.494642533003514462e+00, 4.536000000000000227e+02
-3.535353535353535470e+00, -4.385000000000000000e+02, 1.413640812631398846e+00, 4.385000000000000000e+02
-3.333333333333333481e+00, -4.190000000000000000e+02, 1.333127430412737180e+00, 4.190000000000000000e+02
-3.131313131313131493e+00, -3.943999999999999773e+02, 1.252148157414391338e+00, 3.943999999999999773e+02
-2.929292929292929504e+00, -3.753000000000000114e+02, 1.171368403039429573e+00, 3.753000000000000114e+02
-2.727272727272727071e+00, -3.488999999999999773e+02, 1.090604279624442396e+00, 3.488999999999999773e+02
-2.525252525252525082e+00, -3.260000000000000000e+02, 1.009835525583265170e+00, 3.260000000000000000e+02
-2.323232323232323093e+00, -3.027000000000000455e+02, 9.290522682977027102e-01, 3.027000000000000455e+02
-2.121212121212121104e+00, -2.776999999999999886e+02, 8.482326879084300941e-01, 2.776999999999999886e+02
-1.919191919191919116e+00, -2.535999999999999943e+02, 7.675274205858101384e-01, 2.535999999999999943e+02
-1.717171717171717127e+00, -2.258000000000000114e+02, 6.864694814728826699e-01, 2.258000000000000114e+02
-1.515151515151515138e+00, -2.056999999999999886e+02, 6.058302442099383622e-01, 2.056999999999999886e+02
-1.313131313131313149e+00, -1.761999999999999886e+02, 5.248601457472719112e-01, 1.761999999999999886e+02
-1.111111111111111160e+00, -1.492999999999999829e+02, 4.441549867567724519e-01, 1.492999999999999829e+02
-9.090909090909090606e-01, -1.246000000000000085e+02, 3.633947857719940777e-01, 1.246000000000000085e+02
-7.070707070707070718e-01, -1.000999999999999943e+02, 2.825805785723585206e-01, 1.000999999999999943e+02
-5.050505050505050830e-01, -7.820000000000000284e+01, 2.017289842689399537e-01, 7.820000000000000284e+01
-3.030303030303030387e-01, -5.390000000000000568e+01, 1.208981775362287236e-01, 5.390000000000000568e+01
-1.010101010101010083e-01, -2.810000000000000142e+01, 4.009438855019893666e-02, 2.810000000000000142e+01
1.010101010101010083e-01, -6.999999999999999556e-01, -4.076601644886386488e-02, 6.999999999999999556e-01
3.030303030303030387e-01, 2.500000000000000000e+01, -1.216342128088607200e-01, -2.500000000000000000e+01
5.050505050505050830e-01, 4.689999999999999858e+01, -2.023647591518520916e-01, -4.689999999999999858e+01
7.070707070707070718e-01, 7.539999999999999147e+01, -2.830703781252988938e-01, -7.539999999999999147e+01
9.090909090909090606e-01, 9.740000000000000568e+01, -3.638814535306268416e-01, -9.740000000000000568e+01
1.111111111111111160e+00, 1.257000000000000028e+02, -4.446909828956572830e-01, -1.257000000000000028e+02
1.313131313131313149e+00, 1.505000000000000000e+02, -5.254922165856282801e-01, -1.505000000000000000e+02
1.515151515151515138e+00, 1.749000000000000057e+02, -6.065599442691586018e-01, -1.749000000000000057e+02
1.717171717171717127e+00, 1.991999999999999886e+02, -6.871648680255543207e-01, -1.991999999999999886e+02
1.919191919191919116e+00, 2.233000000000000114e+02, -7.680456421437186210e-01, -2.233000000000000114e+02
2.121212121212121104e+00, 2.487000000000000171e+02, -8.489181332393915813e-01, -2.487000000000000171e+02
2.323232323232323093e+00, 2.731000000000000227e+02, -9.295428798829956651e-01, -2.731000000000000227e+02
2.525252525252525082e+00, 3.007000000000000455e+02, -1.010478289541277164e+00, -3.007000000000000455e+02
2.727272727272727071e+00, 3.247999999999999545e+02, -1.091203361030456342e+00, -3.247999999999999545e+02
2.929292929292929504e+00, 3.491999999999999886e+02, -1.172109759997336687e+00, -3.491999999999999886e+02
3.131313131313131493e+00, 3.723000000000000114e+02, -1.252992308329141435e+00, -3.723000000000000114e+02
3.333333333333333481e+00, 3.976000000000000227e+02, -1.333753353053398705e+00, -3.976000000000000227e+02
3.535353535353535470e+00, 4.176000000000000227e+02, -1.414323291114942593e+00, -4.176000000000000227e+02
3.737373737373737459e+00, 4.385999999999999659e+02, -1.495337410157929536e+00, -4.385999999999999659e+02
3.939393939393939448e+00, 4.610000000000000000e+02, -1.576170817887100339e+00, -4.610000000000000000e+02
4.141414141414140992e+00, 4.781999999999999886e+02, -1.656850528403169598e+00, -4.781999999999999886e+02
4.343434343434343425e+00, 4.973000000000000114e+02, -1.737767170266435235e+00, -4.973000000000000114e+02
4.545454545454545858e+00, 5.120000000000000000e+02, -1.818484928993439276e+00, -5.120000000000000000e+02
4.747474747474747403e+00, 5.269000000000000909e+02, -1.899410017168934095e+00, -5.269000000000000909e+02
4.949494949494949836e+00, 5.420000000000000000e+02, -1.980126358629457961e+00, -5.420000000000000000e+02
5.151515151515151381e+00, 5.572000000000000455e+02, -2.061106656374246171e+00, -5.572000000000000455e+02
5.353535353535353813e+00, 5.705000000000000000e+02, -2.141806009666749500e+00, -5.705000000000000000e+02
5.555555555555555358e+00, 5.825000000000000000e+02, -2.222638424112357125e+00, -5.825000000000000000e+02
5.757575757575757791e+00, 5.961999999999999318e+02, -2.303510921256335831e+00, -5.961999999999999318e+02
5.959595959595959336e+00, 6.081999999999999318e+02, -2.384225073262796091e+00, -6.081999999999999318e+02
6.161616161616161769e+00, 6.188000000000000682e+02, -2.465156967296429968e+00, -6.188000000000000682e+02
6.363636363636363313e+00, 6.311000000000000227e+02, -2.545670795069223669e+00, -6.311000000000000227e+02
6.565656565656565746e+00, 6.420000000000000000e+02, -2.626621581223685720e+00, -6.420000000000000000e+02
6.767676767676767291e+00, 6.516999999999999318e+02, -2.707452993472043712e+00, -6.516999999999999318e+02
6.969696969696969724e+00, 6.631000000000000227e+02, -2.788195162986121467e+00, -6.631000000000000227e+02
7.171717171717172157e+00, 6.722999999999999545e+02, -2.869086523360667940e+00, -6.722999999999999545e+02
7.373737373737373701e+00, 6.827999999999999545e+02, -2.949881894276673577e+00, -6.827999999999999545e+02
7.575757575757576134e+00, 6.915000000000000000e+02, -3.030708026369472563e+00, -6.915000000000000000e+02
7.777777777777777679e+00, 7.012000000000000455e+02, -3.111539988877031426e+00, -7.012000000000000455e+02
7.979797979797980112e+00, 7.097000000000000455e+02, -3.192402199602504265e+00, -7.097000000000000455e+02
8.181818181818181657e+00, 7.180000000000000000e+02, -3.273139862500002106e+00, -7.180000000000000000e+02
8.383838383838384090e+00, 7.261999999999999318e+02, -3.353978945972922787e+00, -7.261999999999999318e+02
8.585858585858586522e+00, 7.340000000000000000e+02, -3.434833222876236825e+00, -7.340000000000000000e+02
8.787878787878787179e+00, 7.416000000000000227e+02, -3.515634646735868341e+00, -7.416000000000000227e+02
8.989898989898989612e+00, 7.492999999999999545e+02, -3.596413868831820349e+00, -7.492999999999999545e+02
9.191919191919192045e+00, 7.566000000000000227e+02, -3.596499580435772891e+00, -7.566000000000000227e+02
9.393939393939394478e+00, 7.640000000000000000e+02, -3.758068312751788209e+00, -7.640000000000000000e+02
9.595959595959595134e+00, 7.712999999999999545e+02, -3.838739390677393004e+00, -7.712999999999999545e+02
9.797979797979797567e+00, 7.782000000000000455e+02, -3.919764373622183662e+00, -7.782000000000000455e+02
1.000000000000000000e+01, 7.852999999999999545e+02, -4.000433152647281609e+00, -7.852999999999999545e+02
