# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -1.756000000000000005e+00, 3.997099975680110884e+00, 1.756000000000000005e+00
-9.899497487437185939e+00, -1.735999999999999988e+00, 3.956975809523552989e+00, 1.735999999999999988e+00
-9.798994974874371877e+00, -1.719000000000000083e+00, 3.916869528226136321e+00, 1.719000000000000083e+00
-9.698492462311557816e+00, -1.701999999999999957e+00, 3.876582335875990992e+00, 1.701999999999999957e+00
-9.597989949748743754e+00, -1.685999999999999943e+00, 3.836459232665009988e+00, 1.685999999999999943e+00
-9.497487437185929693e+00, -1.665999999999999925e+00, 3.796183617744928185e+00, 1.665999999999999925e+00
-9.396984924623115631e+00, -1.647999999999999909e+00, 3.755964279296354569e+00, 1.647999999999999909e+00
-9.296482412060301570e+00, -1.631999999999999895e+00, 3.715880630388934236e+00, 1.631999999999999895e+00
-9.195979899497487509e+00, -1.612000000000000099e+00, 3.675745971207174279e+00, 1.612000000000000099e+00
-9.095477386934673447e+00, -1.594999999999999973e+00, 3.635504028844131597e+00, 1.594999999999999973e+00
-8.994974874371859386e+00, -1.576000000000000068e+00, 3.595328355114018937e+00, 1.576000000000000068e+00
-8.894472361809045324e+00, -1.558999999999999941e+00, 3.555182661844485725e+00, 1.558999999999999941e+00
-8.793969849246231263e+00, -1.540999999999999925e+00, 3.514983328564501797e+00, 1.540999999999999925e+00
-8.693467336683417201e+00, -1.524000000000000021e+00, 3.474841849118269099e+00, 1.524000000000000021e+00
-8.592964824120603140e+00, -1.504999999999999893e+00, 3.434646729574007740e+00, 1.504999999999999893e+00
-8.492462311557789079e+00, -1.487000000000000099e+00, 3.394363259543388356e+00, 1.487000000000000099e+00
-8.391959798994975017e+00, -1.469000000000000083e+00, 3.354247033397807609e+00, 1.469000000000000083e+00
-8.291457286432160956e+00, -1.451999999999999957e+00, 3.314034567956130051e+00, 1.451999999999999957e+00
-8.190954773869346894e+00, -1.433999999999999941e+00, 3.273941488064564975e+00, 1.433999999999999941e+00
-8.090452261306532833e+00, -1.415999999999999925e+00, 3.233854722077892152e+00, 1.415999999999999925e+00
-7.989949748743718771e+00, -1.397999999999999909e+00, 3.193611236530647268e+00, 1.397999999999999909e+00
-7.889447236180904710e+00, -1.381000000000000005e+00, 3.153278874341562066e+00, 1.381000000000000005e+00
-7.788944723618090649e+00, -1.362000000000000099e+00, 3.113269952193236989e+00, 1.362000000000000099e+00
-7.688442211055276587e+00, -1.344000000000000083e+00, 3.073130606070311632e+00, 1.344000000000000083e+00
-7.587939698492462526e+00, -1.326000000000000068e+00, 3.032943930379927266e+00, 1.326000000000000068e+00
-7.487437185929648464e+00, -1.308000000000000052e+00, 2.992814056069299511e+00, 1.308000000000000052e+00
-7.386934673366834403e+00, -1.290999999999999925e+00, 2.952528513809666855e+00, 1.290999999999999925e+00
-7.286432160804020342e+00, -1.274000000000000021e+00, 2.912196693695193073e+00, 1.274000000000000021e+00
-7.185929648241206280e+00, -1.254999999999999893e+00, 2.872151499228465799e+00, 1.254999999999999893e+00
-7.085427135678392219e+00, -1.237000000000000099e+00, 2.832048982594252529e+00, 1.237000000000000099e+00
-6.984924623115578157e+00, -1.219999999999999973e+00, 2.791862848060208790e+00, 1.219999999999999973e+00
-6.884422110552764096e+00, -1.201000000000000068e+00, 2.751632539134055477e+00, 1.201000000000000068e+00
-6.783919597989950034e+00, -1.185999999999999943e+00, 2.711529503688874243e+00, 1.185999999999999943e+00
-6.683417085427135973e+00, -1.165999999999999925e+00, 2.671271851850386625e+00, 1.165999999999999925e+00
-6.582914572864321912e+00, -1.147000000000000020e+00, 2.631210368091919882e+00, 1.147000000000000020e+00
-6.482412060301507850e+00, -1.129000000000000004e+00, 2.590945357877740829e+00, 1.129000000000000004e+00
-6.381909547738693789e+00, -1.112999999999999989e+00, 2.550747666763653498e+00, 1.112999999999999989e+00
-6.281407035175879727e+00, -1.094000000000000083e+00, 2.510714062812591241e+00, 1.094000000000000083e+00
-6.180904522613065666e+00, -1.074999999999999956e+00, 2.470588425991327330e+00, 1.074999999999999956e+00
-6.080402010050251604e+00, -1.058999999999999941e+00, 2.430267677190420361e+00, 1.058999999999999941e+00
