# Voltage (V), Field (mT), Current (A), Field (mT)
-1.000000000000000000e+01, -3.370000000000000000e+02, 3.997368192390611696e+00, 3.370000000000000000e+02
-9.899497487437185939e+00, -3.358999999999999773e+02, 3.957180390485437904e+00, 3.358999999999999773e+02
-9.798994974874371877e+00, -3.346999999999999886e+02, 3.917099353090038427e+00, 3.346999999999999886e+02
-9.698492462311557816e+00, -3.336000000000000227e+02, 3.876845293361978584e+00, 3.336000000000000227e+02
-9.597989949748743754e+00, -3.325000000000000000e+02, 3.836578089437906680e+00, 3.325000000000000000e+02
-9.497487437185929693e+00, -3.313999999999999773e+02, 3.796431323652122103e+00, 3.313999999999999773e+02
-9.396984924623115631e+00, -3.301999999999999886e+02, 3.756249851049509925e+00, 3.301999999999999886e+02
-9.296482412060301570e+00, -3.291000000000000227e+02, 3.716155157906808171e+00, 3.291000000000000227e+02
-9.195979899497487509e+00, -3.279000000000000341e+02, 3.675930567280945027e+00, 3.279000000000000341e+02
-9.095477386934673447e+00, -3.266999999999999886e+02, 3.635593960257055279e+00, 3.266999999999999886e+02
-8.994974874371859386e+00, -3.254000000000000341e+02, 3.595515580729985672e+00, 3.254000000000000341e+02
-8.894472361809045324e+00, -3.241999999999999886e+02, 3.555367783786641311e+00, 3.241999999999999886e+02
-8.793969849246231263e+00, -3.230000000000000000e+02, 3.515161613602280521e+00, 3.230000000000000000e+02
-8.693467336683417201e+00, -3.216999999999999886e+02, 3.475025919201590430e+00, 3.216999999999999886e+02
-8.592964824120603140e+00, -3.205000000000000000e+02, 3.434808711234583978e+00, 3.205000000000000000e+02
-8.492462311557789079e+00, -3.191999999999999886e+02, 3.394575728977763163e+00, 3.191999999999999886e+02
-8.391959798994975017e+00, -3.179000000000000341e+02, 3.354539967719441407e+00, 3.179000000000000341e+02
-8.291457286432160956e+00, -3.165000000000000000e+02, 3.314266496189747002e+00, 3.165000000000000000e+02
-8.190954773869346894e+00, -3.151999999999999886e+02, 3.274043515443242569e+00, 3.151999999999999886e+02
-8.090452261306532833e+00, -3.139000000000000341e+02, 3.233978311934858851e+00, 3.139000000000000341e+02
-7.989949748743718771e+00, -3.125000000000000000e+02, 3.193777425432775541e+00, 3.125000000000000000e+02
-7.889447236180904710e+00, -3.110999999999999659e+02, 3.153511328422447413e+00, 3.110999999999999659e+02
-7.788944723618090649e+00, -3.095999999999999659e+02, 3.113377238684708725e+00, 3.095999999999999659e+02
-7.688442211055276587e+00, -3.081999999999999886e+02, 3.073165842317560958e+00, 3.081999999999999886e+02
-7.587939698492462526e+00, -3.068000000000000114e+02, 3.033088556758265053e+00, 3.068000000000000114e+02
-7.487437185929648464e+00, -3.052000000000000455e+02, 2.992888209952970335e+00, 3.052000000000000455e+02
-7.386934673366834403e+00, -3.035999999999999659e+02, 2.952704695011274971e+00, 3.035999999999999659e+02
-7.286432160804020342e+00, -3.020000000000000000e+02, 2.912470168975871410e+00, 3.020000000000000000e+02
-7.185929648241206280e+00, -3.003999999999999773e+02, 2.872308221591159505e+00, 3.003999999999999773e+02
-7.085427135678392219e+00, -2.987000000000000455e+02, 2.832216749140101797e+00, 2.987000000000000455e+02
-6.984924623115578157e+00, -2.968999999999999773e+02, 2.792016414920611034e+00, 2.968999999999999773e+02
-6.884422110552764096e+00, -2.950999999999999659e+02, 2.751841852856190762e+00, 2.950999999999999659e+02
-6.783919597989950034e+00, -2.931000000000000227e+02, 2.711586828297936069e+00, 2.931000000000000227e+02
-6.683417085427135973e+00, -2.908000000000000114e+02, 2.671413322666637225e+00, 2.908000000000000114e+02
-6.582914572864321912e+00, -2.883000000000000114e+02, 2.631345002021209467e+00, 2.883000000000000114e+02
-6.482412060301507850e+00, -2.858000000000000114e+02, 2.591181493155099158e+00, 2.858000000000000114e+02
-6.381909547738693789e+00, -2.831000000000000227e+02, 2.550953824945957571e+00, 2.831000000000000227e+02
-6.281407035175879727e+00, -2.801999999999999886e+02, 2.510832393395872497e+00, 2.801999999999999886e+02
-6.180904522613065666e+00, -2.771999999999999886e+02, 2.470657320683029123e+00, 2.771999999999999886e+02
-6.080402010050251604e+00, -2.741000000000000227e+02, 2.430428080854066586e+00, 2.741000000000000227e+02
-5.979899497487436655e+00, -2.710000000000000000e+02, 2.390183591477281322e+00, 2.710000000000000000e+02
-5.879396984924622593e+00, -2.677999999999999545e+02, 2.350011680078333054e+00, 2.677999999999999545e+02
-5.778894472361808532e+00, -2.645000000000000000e+02, 2.309905509722772532e+00, 2.645000000000000000e+02
-5.678391959798994471e+00, -2.610000000000000000e+02, 2.269775675049833019e+00, 2.610000000000000000e+02
-5.577889447236180409e+00, -2.575000000000000000e+02, 2.229667404578774104e+00, 2.575000000000000000e+02
-5.477386934673366348e+00, -2.540000000000000000e+02, 2.189259891018092485e+00, 2.540000000000000000e+02
-5.376884422110552286e+00, -2.504000000000000057e+02, 2.149095351163592404e+00, 2.504000000000000057e+02
-5.276381909547738225e+00, -2.467999999999999829e+02, 2.108962893637234437e+00, 2.467999999999999829e+02
-5.175879396984924163e+00, -2.430000000000000000e+02, 2.068869881175877889e+00, 2.430000000000000000e+02
